ODR_Model,OR_Box_Direction,OS_confirm_dir,OS_stays_true,num_days,low_p80,low_p50,low_p20,high_p20,high_p50,high_p80
RC,down,Short,False,7.0,0.15669379430827576,-0.3834274150601768,-0.8752367516532744,0.27247121645470235,0.5273097392882545,1.533518756526173
RC,down,Short,True,8.0,-0.22091600950305978,-0.8576362883214597,-1.2377492163597186,0.1047419835974644,0.2367598914584003,0.8800731730458337
RC,down,,,2.0,-0.008026201150610701,-0.29588530060867513,-0.5837444000667396,0.6992929306150648,0.7320320319868518,0.764771133358639
RC,flat,Long,True,4.0,-0.06029544451077068,-0.13118047777606198,-0.27033196144663035,0.30506198792110434,0.4510458633433587,0.6916904198974334
RC,flat,Short,False,2.0,-0.152498115617068,-0.16117486650745877,-0.16985161739784954,0.08657907061070921,0.12841950751268855,0.17025994441466788
RC,flat,Short,True,2.0,0.06995612468705749,-0.017723587301309518,-0.10540329928967651,0.3456422057098605,0.4914642541657659,0.6372863026216713
RC,flat,,,1.0,-0.6902263942573164,-0.6902263942573164,-0.6902263942573164,1.9878520154610713,1.9878520154610713,1.9878520154610713
RC,up,Long,False,2.0,-0.6739419183675853,-1.4453657059775056,-2.2167894935874255,0.07224457803159096,0.45760629394670027,0.8429680098618095
RC,up,Long,True,28.0,0.006673626480928216,-0.1483694960275422,-0.4313243221076911,0.3228697424638533,0.6514111349534168,1.3990195580618756
RC,up,Short,False,4.0,-0.3537974763832003,-0.4125936029876828,-0.7441009705281523,0.16691961515685425,0.1982868725847155,0.2298597650855536
RC,up,Short,True,25.0,-0.23668695090747657,-0.49852519629429604,-0.9245337550151007,-0.04640976912329404,0.33935280572051874,0.5460814482469034
RC,up,,,3.0,0.03666175054143297,0.033973161202649906,-0.17756878098162124,0.39801574118179234,0.4259889028100949,1.952745109287853
RX,down,Long,False,23.0,-0.2848593079495891,-0.607945709034356,-1.5940744445955846,0.10905109191411488,0.5066250974279034,0.9731627127676394
RX,down,Long,True,132.0,-0.0304138993392975,-0.27916976359472456,-0.8124494237103235,0.39812785543255397,0.7581429283223005,1.217414325441545
RX,down,Short,False,21.0,-0.10773282259995212,-0.6689936009307738,-0.9460580912863071,0.28427727968510824,1.0753206673739029,1.4543339150668992
RX,down,Short,True,106.0,-0.31237797735259665,-0.6606644618483846,-1.382992691146221,0.031735956839098696,0.30099358256371644,0.6292474200855777
RX,down,,,16.0,-0.2315404078975942,-0.48673643222195184,-1.0034060373790081,0.13972182214646883,0.39757783350663645,1.089371047288908
RX,flat,Long,False,3.0,-0.2203862718820052,-0.3254300325430033,-0.5730072727303331,0.4765816722666123,0.6276150627615062,1.5962625687614747
RX,flat,Long,True,14.0,0.10886301663088241,-0.043927634407748405,-0.302155690395224,0.41555994033505456,0.654122578386906,1.0810031626319325
