symbol,pair_day,day_num,asia_range_mid,win_start,win_end,sequence_open,combined_high,combined_low,combined_high_time,combined_low_time,combined_high_where,combined_low_where,cycle_pair,combined_high_pct_change,combined_low_pct_change,AS_high,AS_low,AS_high_time,AS_low_time,AS_high_pct_change,AS_low_pct_change,TO_high,TO_low,TO_high_time,TO_low_time,TO_high_pct_change,TO_low_pct_change,OR_high,OR_low,OR_high_time,OR_low_time,OR_high_pct_change,OR_low_pct_change,OS_high,OS_low,OS_high_time,OS_low_time,OS_high_pct_change,OS_low_pct_change,AR_model,AR_box_direction,AR_trade_direction,AS_breakout_dir,AS_session_true,AS_box_direction,OR_model,OR_box_direction,OR_trade_direction,OS_breakout_dir,OS_session_true,OS_box_direction,win_start_idx,win_start_scaled,win_end_idx,win_end_scaled,combined_high_idx,combined_high_scaled,combined_low_idx,combined_low_scaled,AS_high_idx,AS_high_scaled,AS_low_idx,AS_low_scaled,TO_high_idx,TO_high_scaled,TO_low_idx,TO_low_scaled,OR_high_idx,OR_high_scaled,OR_low_idx,OR_low_scaled,OS_high_idx,OS_high_scaled,OS_low_idx,OS_low_scaled
ES,2019-12-13,4,3180.0,20:30,08:25,3180.75,3191.0,3180.25,08:15,20:30,OS,AS,Asia-ODR,0.3459119496855346,0.007861635220125786,3185.25,3180.25,01:45,20:30,0.16509433962264153,0.007861635220125786,3185.25,3182.75,02:00,02:20,0.16509433962264153,0.08647798742138366,3187.0,3182.75,03:50,03:00,0.22012578616352202,0.08647798742138366,3191.0,3183.5,08:15,05:15,0.3459119496855346,0.11006289308176101,RC,up,Long,Long,True,up,UXP,up,Long,Long,True,up,0.0,0.0,23.0,1.0,23.0,1.0,0.0,0.0,10.0,0.43478260869565216,0.0,0.0,11.0,0.4782608695652174,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,23.0,1.0,17.0,0.7391304347826086
ES,2019-12-16,5,3194.25,20:30,08:25,3195.0,3202.25,3192.0,02:35,05:35,TO,OS,ODR-TransODR,0.2504500273929718,-0.0704390702042733,3201.0,3193.5,00:55,21:20,0.2113172106128199,-0.023479690068091103,3202.25,3199.5,02:35,02:00,0.2504500273929718,0.1643578304766377,3201.5,3195.25,03:00,03:30,0.22697033732488064,0.03130625342412147,3199.5,3192.0,08:20,05:35,0.1643578304766377,-0.0704390702042733,RC,up,Long,Long,True,up,UXP,down,Short,Short,True,down,0.0,0.0,23.0,1.0,12.0,0.5217391304347826,18.0,0.782608695652174,8.0,0.34782608695652173,1.0,0.043478260869565216,12.0,0.5217391304347826,11.0,0.4782608695652174,13.0,0.5652173913043478,14.0,0.6086956521739131,23.0,1.0,18.0,0.782608695652174
ES,2019-12-17,1,3194.875,20:30,08:25,3195.5,3199.0,3192.0,04:55,02:10,OS,TO,ODR-TransODR,0.12911303259125945,-0.08998787119996869,3196.5,3192.5,20:30,01:35,0.05086270980867796,-0.07433780664345241,3194.25,3192.0,02:30,02:10,-0.01956258069564537,-0.08998787119996869,3197.25,3192.5,03:15,03:00,0.07433780664345241,-0.07433780664345241,3199.0,3194.25,04:55,07:15,0.12911303259125945,-0.01956258069564537,DXP,up,Long,Long,False,up,U,up,Long,Long,True,up,0.0,0.0,23.0,1.0,16.0,0.6956521739130435,11.0,0.4782608695652174,0.0,0.0,10.0,0.43478260869565216,12.0,0.5217391304347826,11.0,0.4782608695652174,13.0,0.5652173913043478,13.0,0.5652173913043478,16.0,0.6956521739130435,21.0,0.9130434782608695
ES,2019-12-18,2,3200.375,20:30,08:25,3199.75,3201.75,3195.75,05:00,03:45,OS,OR,ODR-ODRRange,0.04296371518962622,-0.14451431472874274,3199.75,3196.5,20:30,21:45,-0.019528961449830098,-0.12107956098894662,3199.25,3198.0,02:00,02:05,-0.03515213060969418,-0.07421005350935436,3201.0,3195.75,03:15,03:45,0.019528961449830098,-0.14451431472874274,3201.75,3195.75,05:00,07:55,0.04296371518962622,-0.14451431472874274,RC,down,Short,Short,True,down,DX,down,Long,Long,True,down,0.0,0.0,23.0,1.0,17.0,0.7391304347826086,14.0,0.6086956521739131,0.0,0.0,2.0,0.08695652173913043,11.0,0.4782608695652174,11.0,0.4782608695652174,13.0,0.5652173913043478,14.0,0.6086956521739131,17.0,0.7391304347826086,22.0,0.9565217391304348
ES,2019-12-19,3,3211.375,20:30,08:25,3211.0,3214.5,3208.5,08:10,02:00,OS,TO,ODR-TransODR,0.09731034214316298,-0.08952551477170993,3212.25,3209.25,21:00,01:15,0.027246895800085633,-0.06617103265735083,3210.25,3208.5,02:50,02:00,-0.03503172317153867,-0.08952551477170993,3211.75,3209.25,03:40,03:15,0.011677241057179558,-0.06617103265735083,3214.5,3209.0,08:10,04:50,0.09731034214316298,-0.07395586002880386,UXP,down,Short,Short,True,down,D,up,Long,Long,True,up,0.0,0.0,23.0,1.0,23.0,1.0,11.0,0.4782608695652174,1.0,0.043478260869565216,9.0,0.391304347826087,12.0,0.5217391304347826,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,23.0,1.0,16.0,0.6956521739130435
ES,2019-12-20,4,3227.75,20:30,08:25,3228.0,3234.25,3226.25,07:05,01:50,OS,AS,Asia-ODR,0.2013786693517156,-0.046472000619626676,3228.75,3226.25,21:00,01:50,0.030981333746417785,-0.046472000619626676,3227.5,3226.25,02:15,02:00,-0.007745333436604446,-0.046472000619626676,3228.5,3226.5,03:35,03:00,0.023236000309813338,-0.03872666718302223,3234.25,3227.25,07:05,04:00,0.2013786693517156,-0.015490666873208893,UXP,up,Short,Short,True,up,RC,up,Long,Long,True,up,0.0,0.0,23.0,1.0,21.0,0.9130434782608695,10.0,0.43478260869565216,1.0,0.043478260869565216,10.0,0.43478260869565216,11.0,0.4782608695652174,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,21.0,0.9130434782608695,15.0,0.6521739130434783
ES,2019-12-23,5,3227.25,20:30,08:25,3227.25,3231.25,3226.0,07:30,20:55,OS,AS,Asia-ODR,0.12394453482066775,-0.038732667131458676,3228.75,3226.0,01:00,20:55,0.04647920055775041,-0.038732667131458676,3229.0,3228.0,02:45,02:00,0.05422573398404214,0.023239600278875203,3229.0,3227.25,03:00,03:15,0.05422573398404214,0.0,3231.25,3228.25,07:30,04:00,0.12394453482066775,0.030986133705166938,RC,down,Short,Short,False,down,UX,down,Long,Long,True,down,0.0,0.0,23.0,1.0,22.0,0.9565217391304348,0.0,0.0,9.0,0.391304347826087,0.0,0.0,12.0,0.5217391304347826,11.0,0.4782608695652174,13.0,0.5652173913043478,13.0,0.5652173913043478,22.0,0.9565217391304348,15.0,0.6521739130434783
ES,2019-12-25,2,3230.25,20:30,08:25,3230.0,3231.25,3229.25,02:50,20:45,TO,AS,Asia-TransODR,0.03095735624177695,-0.03095735624177695,3230.5,3229.25,21:55,20:45,0.007739339060444238,-0.03095735624177695,3231.25,3230.0,02:50,02:00,0.03095735624177695,-0.007739339060444238,3230.75,3229.25,03:00,03:20,0.015478678120888476,-0.03095735624177695,3231.25,3229.5,06:20,08:10,0.03095735624177695,-0.023218017181332713,Undefined (Missing Data),up,Undefined,,,up,RX,down,Long,Long,True,down,0.0,0.0,23.0,1.0,12.0,0.5217391304347826,0.0,0.0,2.0,0.08695652173913043,0.0,0.0,12.0,0.5217391304347826,11.0,0.4782608695652174,13.0,0.5652173913043478,13.0,0.5652173913043478,19.0,0.8260869565217391,23.0,1.0
ES,2019-12-26,3,3246.375,20:30,08:25,3247.5,3254.0,3247.25,08:15,20:30,OS,AS,Asia-ODR,0.2348773632128143,0.026953140040814755,3250.0,3247.25,21:25,20:30,0.11166300874051827,0.026953140040814755,3249.25,3247.75,02:35,02:05,0.08856031727696277,0.042354934349851756,3252.0,3248.5,03:50,03:00,0.17327018597666627,0.06545762581340726,3254.0,3248.0,08:15,04:05,0.2348773632128143,0.05005583150437026,UXP,up,Long,Long,True,up,UXP,up,Long,Long,True,up,0.0,0.0,23.0,1.0,23.0,1.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,12.0,0.5217391304347826,11.0,0.4782608695652174,14.0,0.6086956521739131,13.0,0.5652173913043478,23.0,1.0,15.0,0.6521739130434783
ES,2019-12-27,4,3241.25,20:30,08:25,3241.75,3244.25,3236.5,22:25,06:15,AS,OS,Asia-ODR,0.09255688391824142,-0.14654839953721557,3244.25,3241.5,22:25,20:30,0.09255688391824142,0.007713073659853451,3243.25,3241.0,02:20,02:40,0.06170458927882761,-0.007713073659853451,3244.25,3240.75,03:30,03:10,0.09255688391824142,-0.015426147319706903,3243.75,3236.5,04:00,06:15,0.07713073659853452,-0.14654839953721557,RC,down,Long,Long,True,down,UXP,up,Short,Short,True,up,0.0,0.0,23.0,1.0,3.0,0.13043478260869565,19.0,0.8260869565217391,3.0,0.13043478260869565,0.0,0.0,11.0,0.4782608695652174,12.0,0.5217391304347826,14.0,0.6086956521739131,13.0,0.5652173913043478,15.0,0.6521739130434783,19.0,0.8260869565217391
