symbol,kind,session_code,anchor_date,cluster_high_high,cluster_high_close,cluster_low_low,cluster_low_close,session_open,session_close
ES,weekly,RR,2009-01-20,840.75,838.75,820.25,822.0,838.5,830.0
ES,weekly,RR,2009-01-27,844.5,843.5,831.25,833.25,837.25,835.25
ES,weekly,RR,2009-02-03,828.0,824.75,818.0,819.25,826.5,821.5
ES,weekly,RR,2009-02-10,866.0,864.25,853.25,854.0,858.25,854.0
ES,weekly,RR,2009-02-17,801.5,799.5,786.75,791.0,796.75,792.75
ES,weekly,RR,2009-02-24,753.5,752.0,743.5,745.5,748.0,749.5
ES,weekly,RR,2009-03-03,712.0,710.5,701.75,703.0,711.0,705.5
ES,weekly,RR,2009-03-10,707.75,705.75,688.5,691.25,690.0,704.0
ES,weekly,RR,2009-03-17,755.5,754.75,746.0,747.25,752.25,751.25
ES,weekly,RR,2009-03-24,815.0,814.0,805.25,807.0,809.0,808.0
ES,weekly,RR,2009-03-31,793.75,792.25,786.5,787.75,791.75,792.25
ES,weekly,RR,2009-04-07,818.5,818.25,812.25,813.75,818.25,818.25
ES,weekly,RR,2009-04-14,849.25,849.25,840.5,843.25,846.0,849.25
ES,weekly,RR,2009-04-21,831.5,830.25,823.25,825.0,824.0,826.0
ES,weekly,RR,2009-04-28,855.75,855.5,842.75,845.0,844.75,855.5
ES,weekly,RR,2009-05-05,904.75,904.0,899.0,900.0,900.75,900.25
ES,weekly,RR,2009-05-12,913.5,912.25,900.0,900.25,911.75,902.5
ES,weekly,RR,2009-05-19,911.75,911.5,903.5,904.0,907.0,911.5
ES,weekly,RR,2009-05-26,902.5,901.0,878.25,881.5,878.75,899.75
ES,weekly,RR,2009-06-02,949.0,947.75,936.75,937.5,939.5,946.0
ES,weekly,RR,2009-06-09,945.25,944.0,937.75,939.0,942.25,939.0
ES,weekly,RR,2009-06-16,924.0,923.25,919.25,919.75,923.25,921.25
ES,weekly,RR,2009-06-23,894.5,894.25,887.0,887.0,890.5,887.0
ES,weekly,RR,2009-06-30,926.25,925.0,913.5,914.75,922.75,914.75
ES,weekly,RR,2009-07-07,893.5,892.0,886.75,887.5,892.5,888.5
ES,weekly,RR,2009-07-14,901.5,899.25,894.5,895.5,899.25,897.25
ES,weekly,RR,2009-07-21,954.5,952.75,945.0,946.5,954.25,948.75
ES,weekly,RR,2009-07-28,979.25,978.0,969.5,971.25,972.25,972.25
ES,weekly,RR,2009-08-04,999.25,998.25,993.25,994.5,995.5,995.75
ES,weekly,RR,2009-08-11,1001.75,1001.0,992.75,993.25,1000.75,993.25
ES,weekly,RR,2009-08-18,985.25,984.0,979.0,979.75,980.75,982.25
ES,weekly,RR,2009-08-25,1038.0,1034.25,1026.5,1027.0,1029.25,1027.0
ES,weekly,RR,2009-09-01,1027.75,1026.5,1014.5,1017.5,1015.0,1023.25
ES,weekly,RR,2009-09-08,1025.75,1024.75,1019.0,1020.25,1025.25,1023.0
ES,weekly,RR,2009-09-15,1047.5,1046.5,1038.25,1039.75,1045.5,1043.25
ES,weekly,RR,2009-09-22,1066.5,1065.75,1061.5,1062.5,1066.0,1064.25
ES,weekly,RR,2009-09-29,1065.75,1064.75,1055.5,1058.25,1060.75,1059.25
ES,weekly,RR,2009-10-06,1052.0,1051.75,1042.5,1044.25,1042.75,1049.25
ES,weekly,RR,2009-10-13,1071.0,1070.5,1063.0,1063.5,1069.0,1066.25
ES,weekly,RR,2009-10-20,1095.25,1092.25,1087.25,1088.25,1094.75,1089.25
ES,weekly,RR,2009-10-27,1068.75,1068.0,1057.0,1059.75,1065.5,1066.25
ES,weekly,RR,2009-11-03,1040.5,1040.0,1030.75,1032.0,1032.5,1034.25
ES,weekly,RR,2009-11-10,1094.0,1093.75,1087.75,1090.0,1088.5,1093.75
ES,weekly,RR,2009-11-17,1107.5,1106.25,1102.5,1103.5,1104.25,1106.0
ES,weekly,RR,2009-11-24,1105.5,1103.25,1095.0,1097.25,1105.25,1098.25
ES,weekly,RR,2009-12-01,1108.5,1107.5,1102.25,1104.0,1104.25,1104.75
ES,weekly,RR,2009-12-08,1096.0,1093.5,1087.75,1089.25,1096.0,1093.25
ES,weekly,RR,2009-12-15,1107.5,1107.0,1103.25,1104.0,1105.0,1106.5
ES,weekly,RR,2009-12-22,1115.75,1115.0,1110.75,1111.0,1111.75,1115.0
ES,weekly,RR,2009-12-29,1126.5,1126.25,1123.75,1124.25,1126.25,1125.75
ES,weekly,RR,2010-01-05,1131.5,1131.0,1125.0,1125.25,1128.25,1131.0
ES,weekly,RR,2010-01-12,1137.75,1137.25,1132.5,1134.25,1135.25,1137.25
ES,weekly,RR,2010-01-19,1141.0,1140.5,1131.25,1133.5,1131.5,1139.5
ES,weekly,RR,2010-01-26,1096.0,1095.0,1086.0,1087.25,1088.75,1093.5
ES,weekly,RR,2010-02-02,1092.75,1092.25,1084.25,1084.75,1087.75,1092.25
ES,weekly,RR,2010-02-09,1069.75,1069.0,1063.25,1064.75,1066.5,1067.0
ES,weekly,RR,2010-02-16,1084.5,1083.25,1079.5,1079.75,1083.75,1083.0
ES,weekly,RR,2010-02-23,1107.5,1106.75,1094.0,1095.25,1103.75,1095.75
ES,weekly,RR,2010-03-02,1120.75,1120.5,1116.25,1117.0,1118.75,1118.0
ES,weekly,RR,2010-03-09,1139.5,1138.75,1134.0,1135.25,1134.25,1138.0
ES,weekly,RR,2010-03-16,1149.0,1148.75,1145.5,1146.0,1148.75,1148.5
ES,weekly,RR,2010-03-23,1165.0,1164.5,1159.5,1160.5,1163.0,1164.0
ES,weekly,RR,2010-03-30,1173.75,1173.0,1169.0,1169.5,1170.0,1170.25
ES,weekly,RR,2010-04-06,1182.0,1182.0,1178.25,1179.0,1179.75,1182.0
ES,weekly,RR,2010-04-13,1192.5,1191.5,1186.75,1187.0,1191.5,1187.0
ES,weekly,RR,2010-04-20,1202.25,1201.0,1197.0,1197.75,1201.0,1197.75
ES,weekly,RR,2010-04-27,1206.25,1205.75,1201.25,1202.25,1201.75,1205.75
ES,weekly,RR,2010-05-04,1185.5,1182.25,1177.0,1178.0,1185.25,1180.5
ES,weekly,RR,2010-05-11,1154.5,1153.5,1144.25,1147.25,1146.0,1152.0
ES,weekly,RR,2010-05-18,1147.5,1146.0,1140.25,1141.0,1144.0,1141.0
ES,weekly,RR,2010-05-25,1054.5,1053.0,1038.5,1042.25,1046.0,1049.25
ES,weekly,RR,2010-06-01,1093.75,1091.75,1076.75,1079.25,1078.25,1091.75
ES,weekly,RR,2010-06-08,1056.0,1054.5,1045.75,1047.25,1050.25,1049.75
ES,weekly,RR,2010-06-15,1097.0,1095.75,1091.25,1092.0,1093.0,1095.75
ES,weekly,RR,2010-06-22,1114.5,1113.5,1105.0,1106.25,1109.75,1107.5
ES,weekly,RR,2010-06-29,1055.75,1054.5,1037.5,1038.25,1055.5,1038.25
ES,weekly,RR,2010-07-06,1038.5,1037.5,1028.75,1029.5,1031.25,1035.5
ES,weekly,RR,2010-07-13,1091.0,1089.25,1084.25,1084.75,1086.25,1088.75
ES,weekly,RR,2010-07-20,1061.0,1060.25,1053.0,1054.25,1053.25,1059.5
ES,weekly,RR,2010-07-27,1117.75,1117.75,1109.5,1110.5,1116.75,1113.0
ES,weekly,RR,2010-08-03,1120.5,1120.0,1113.25,1113.75,1119.75,1115.5
ES,weekly,RR,2010-08-10,1117.0,1116.0,1108.25,1110.0,1115.25,1113.25
ES,weekly,RR,2010-08-17,1087.5,1086.5,1083.25,1084.25,1086.25,1084.75
ES,weekly,RR,2010-08-24,1055.0,1053.5,1044.0,1048.5,1053.75,1051.25
ES,weekly,RR,2010-08-31,1052.75,1051.75,1039.25,1040.75,1043.5,1051.25
ES,weekly,RR,2010-09-07,1099.5,1099.0,1091.75,1093.0,1098.0,1094.25
ES,weekly,RR,2010-09-14,1115.5,1114.75,1110.25,1110.5,1114.5,1114.75
ES,weekly,RR,2010-09-21,1138.75,1137.25,1135.5,1136.0,1138.25,1136.5
ES,weekly,RR,2010-09-28,1140.0,1137.25,1127.25,1128.75,1139.75,1133.0
ES,weekly,RR,2010-10-05,1148.75,1147.75,1142.0,1142.5,1143.25,1147.75
ES,weekly,RR,2010-10-12,1158.75,1157.0,1151.75,1152.75,1158.25,1156.25
ES,weekly,RR,2010-10-19,1171.5,1170.5,1162.75,1163.0,1167.25,1170.5
ES,weekly,RR,2010-10-26,1182.75,1181.5,1174.0,1175.75,1176.5,1181.0
ES,weekly,RR,2010-11-02,1192.0,1190.5,1187.25,1188.0,1189.75,1188.0
ES,weekly,RR,2010-11-09,1224.75,1223.5,1219.0,1220.0,1223.25,1223.25
ES,weekly,RR,2010-11-16,1190.0,1189.0,1184.5,1184.5,1188.0,1186.75
ES,weekly,RR,2010-11-23,1185.0,1184.25,1177.0,1178.5,1182.75,1180.25
ES,weekly,RR,2010-11-30,1183.75,1183.0,1173.0,1175.0,1174.75,1183.0
ES,weekly,RR,2010-12-07,1235.0,1234.0,1229.0,1229.25,1234.5,1229.25
ES,weekly,RR,2010-12-14,1240.75,1240.0,1236.25,1237.0,1237.5,1240.0
ES,weekly,RR,2010-12-21,1248.75,1248.0,1245.25,1245.75,1246.25,1248.0
ES,weekly,RR,2010-12-28,1256.0,1254.75,1251.5,1251.75,1255.25,1252.75
ES,weekly,RR,2011-01-04,1270.0,1268.25,1263.5,1265.0,1269.75,1265.5
ES,weekly,RR,2011-01-11,1273.0,1272.5,1268.5,1269.0,1270.5,1270.5
ES,weekly,RR,2011-01-18,1291.0,1290.25,1286.5,1286.5,1287.75,1290.0
ES,weekly,RR,2011-01-25,1288.5,1286.75,1282.0,1282.75,1283.5,1283.5
ES,weekly,RR,2011-02-01,1297.5,1296.75,1289.75,1292.25,1290.5,1296.25
ES,weekly,RR,2011-02-08,1319.25,1319.0,1313.0,1314.5,1317.0,1318.25
ES,weekly,RR,2011-02-15,1328.0,1327.25,1322.25,1322.5,1325.75,1322.5
ES,weekly,RR,2011-02-22,1334.5,1332.75,1323.25,1324.5,1326.5,1330.5
ES,weekly,RR,2011-03-01,1332.5,1330.75,1319.0,1319.0,1331.5,1319.0
ES,weekly,RR,2011-03-08,1319.0,1318.0,1306.0,1307.75,1311.75,1317.75
ES,weekly,RR,2011-03-15,1268.25,1268.25,1255.25,1257.25,1256.25,1268.25
ES,weekly,RR,2011-03-22,1294.75,1294.25,1290.0,1290.5,1293.0,1294.0
ES,weekly,RR,2011-03-29,1308.25,1308.0,1300.25,1301.5,1304.5,1306.25
ES,weekly,RR,2011-04-05,1330.5,1329.75,1325.25,1326.0,1325.75,1329.75
ES,weekly,RR,2011-04-12,1315.5,1314.0,1307.75,1308.25,1313.0,1310.75
ES,weekly,RR,2011-04-19,1306.25,1305.25,1301.5,1301.75,1303.25,1304.75
ES,weekly,RR,2011-04-26,1339.75,1338.75,1334.5,1335.25,1336.0,1338.75
ES,weekly,RR,2011-05-03,1357.25,1356.25,1352.0,1353.25,1354.75,1354.75
ES,weekly,RR,2011-05-10,1351.75,1351.0,1345.25,1346.25,1346.75,1350.75
ES,weekly,RR,2011-05-17,1328.75,1328.25,1320.0,1322.0,1322.0,1328.25
ES,weekly,RR,2011-05-24,1322.5,1321.5,1318.0,1318.25,1319.5,1319.0
ES,weekly,RR,2011-05-31,1344.0,1343.0,1336.0,1337.0,1342.5,1337.75
ES,weekly,RR,2011-06-07,1293.75,1293.0,1288.25,1289.25,1291.5,1292.0
ES,weekly,RR,2011-06-14,1282.25,1282.0,1277.5,1278.25,1278.0,1282.0
ES,weekly,RR,2011-06-21,1285.5,1284.75,1277.5,1277.75,1279.25,1284.75
ES,weekly,RR,2011-06-28,1286.25,1286.0,1278.0,1278.75,1279.5,1286.0
ES,weekly,RR,2011-07-05,1335.25,1334.25,1330.0,1330.0,1333.0,1331.5
ES,weekly,RR,2011-07-12,1317.75,1316.5,1310.75,1311.0,1312.0,1315.5
ES,weekly,RR,2011-07-19,1316.25,1315.5,1308.25,1312.0,1308.5,1315.0
ES,weekly,RR,2011-07-26,1334.25,1332.25,1325.5,1326.5,1332.5,1328.0
ES,weekly,RR,2011-08-02,1280.0,1278.5,1273.0,1274.25,1273.25,1274.25
ES,weekly,RR,2011-08-09,1144.5,1144.25,1116.5,1118.25,1135.5,1144.25
ES,weekly,RR,2011-08-16,1193.75,1193.5,1184.0,1185.75,1189.25,1193.5
ES,weekly,RR,2011-08-23,1138.25,1136.0,1120.25,1121.25,1126.0,1135.75
ES,weekly,RR,2011-08-30,1206.25,1204.75,1193.5,1194.25,1202.5,1199.75
ES,weekly,RR,2011-09-06,1153.75,1150.5,1138.0,1140.75,1138.0,1140.75
ES,weekly,RR,2011-09-13,1174.25,1172.75,1156.5,1158.5,1164.75,1169.5
ES,weekly,RR,2011-09-20,1205.25,1204.25,1194.5,1196.75,1202.5,1204.25
ES,weekly,RR,2011-09-27,1185.75,1183.25,1176.0,1177.25,1179.75,1182.0
ES,weekly,RR,2011-10-04,1082.75,1080.25,1068.0,1071.0,1077.5,1075.25
ES,weekly,RR,2011-10-11,1191.0,1191.0,1182.0,1183.5,1183.25,1191.0
ES,weekly,RR,2011-10-18,1199.0,1197.5,1186.25,1186.5,1195.5,1196.25
ES,weekly,RR,2011-10-25,1244.0,1238.75,1227.5,1232.75,1243.25,1238.75
ES,weekly,RR,2011-11-01,1227.25,1225.75,1209.5,1212.5,1214.75,1225.75
ES,weekly,RR,2011-11-08,1268.5,1268.0,1256.25,1258.0,1263.75,1258.0
ES,weekly,RR,2011-11-15,1253.25,1251.25,1244.25,1245.5,1246.25,1248.25
ES,weekly,RR,2011-11-22,1194.5,1193.0,1185.75,1187.5,1188.0,1192.0
ES,weekly,RR,2011-11-29,1203.0,1202.0,1190.5,1191.75,1194.75,1201.0
ES,weekly,RR,2011-12-06,1259.0,1258.5,1252.0,1252.75,1256.5,1258.5
ES,weekly,RR,2011-12-13,1249.75,1249.0,1242.5,1244.25,1242.5,1244.25
ES,weekly,RR,2011-12-20,1228.75,1228.5,1217.0,1219.5,1217.0,1228.5
ES,weekly,RR,2011-12-27,1264.0,1263.75,1256.25,1256.75,1257.5,1263.5
ES,weekly,RR,2012-01-03,1279.75,1279.0,1273.0,1275.0,1273.5,1278.0
ES,weekly,RR,2012-01-10,1292.0,1291.75,1287.0,1287.5,1289.5,1289.75
ES,weekly,RR,2012-01-17,1299.0,1298.75,1293.0,1293.5,1296.5,1295.25
ES,weekly,RR,2012-01-24,1306.75,1306.5,1301.5,1302.5,1303.5,1305.25
ES,weekly,RR,2012-01-31,1317.5,1317.25,1307.25,1307.75,1315.75,1310.5
