asset,date,exit_time,direction,entry_price,stop_price,target_price,exit_price,r_pnl,reason
NQ,2021-11-05,2021-11-05 09:30:00,LONG,16338.583333333334,16321.25,16423.75,16423.75,4.913461538461331,TARGET
NQ,2021-11-07,2021-11-07 18:40:00,SHORT,16318.354166666666,16331.125,16256.0,16331.125,-1.0,STOP
NQ,2021-11-09,2021-11-09 01:00:00,SHORT,16317.979166666666,16325.375,16282.5,16325.375,-1.0,STOP
NQ,2021-11-10,2021-11-10 01:50:00,SHORT,16203.447916666666,16217.9375,16132.5,16217.9375,-1.0,STOP
NQ,2021-11-25,2021-11-25 19:00:00,SHORT,16383.697916666666,16388.9375,16359.0,16359.0,4.713717693836317,TARGET
NQ,2021-11-30,2021-11-30 00:10:00,LONG,16390.78125,16380.4375,16441.0,16380.4375,-1.0,STOP
NQ,2021-12-08,2021-12-08 23:00:00,LONG,16369.208333333334,16358.75,16420.0,16358.75,-1.0,STOP
NQ,2021-12-10,2021-12-10 06:20:00,SHORT,16196.875,16212.5,16120.25,16212.5,-1.0,STOP
NQ,2021-12-22,2021-12-22 03:35:00,LONG,15905.520833333334,15888.875,15987.25,15888.875,-1.0,STOP
NQ,2021-12-27,2021-12-27 02:30:00,LONG,16320.020833333334,16311.125,16363.0,16311.125,-1.0,STOP
NQ,2022-01-02,2022-01-02 18:00:00,SHORT,16345.583333333334,16352.25,16313.75,16352.25,-1.0,STOP
NQ,2022-01-12,2022-01-12 08:30:00,LONG,15772.625,15747.25,15898.0,15898.0,4.940886699507389,TARGET
NQ,2022-01-16,2022-01-16 20:00:00,LONG,15567.614583333334,15550.1875,15653.25,15550.1875,-1.0,STOP
NQ,2022-01-17,2022-01-17 22:35:00,SHORT,15555.34375,15560.5625,15530.75,15530.75,4.712574850299402,TARGET
NQ,2022-01-18,2022-01-18 16:45:00,SHORT,15227.21875,15238.8125,15170.75,15238.8125,-1.0,STOP
NQ,2022-01-20,2022-01-20 01:45:00,SHORT,15112.770833333334,15136.875,14993.75,15136.875,-1.0,STOP
NQ,2022-01-23,2022-01-23 18:20:00,SHORT,14506.885416666666,14532.8125,14378.75,14532.8125,-1.0,STOP
NQ,2022-01-24,2022-01-24 20:10:00,LONG,14335.520833333334,14297.375,14524.75,14297.375,-1.0,STOP
NQ,2022-01-25,2022-01-25 18:10:00,SHORT,14073.552083333334,14110.5625,13890.0,14110.5625,-1.0,STOP
