asset,date,dr_high,dr_low,sr_high_close,sr_low_close,breakout_time,direction,cluster,entry_time,entry_price,stop_price,exit_time,exit_reason,exit_price,pnl,r_multiple
GC,2020-05-11,1712.6,1697.5,1711.6,1699.2,2020-05-11 11:00:00-04:00,Short Breakout,First,2020-05-11 11:00:00-04:00,1697.5,1701.68,2020-05-11 15:55:00-04:00,SESSION_CLOSE,1699.5,-2.0,-0.4784688995215238
GC,2020-05-12,1714.3,1704.6,1713.3,1705.1,2020-05-12 10:55:00-04:00,Long Breakout,First,2020-05-12 10:55:00-04:00,1714.3,1711.6599999999999,2020-05-12 11:45:00-04:00,STOP,1711.6599999999999,-2.6400000000001,-1.0
GC,2020-05-12,1714.3,1704.6,1713.3,1705.1,2020-05-12 10:55:00-04:00,Long Breakout,Second,2020-05-12 12:05:00-04:00,1710.02,1706.74,2020-05-12 12:15:00-04:00,STOP,1706.74,-3.2799999999999727,-1.0
GC,2020-05-13,1718.1,1711.1,1717.4,1712.1,2020-05-13 10:30:00-04:00,Long Breakout,First,2020-05-13 10:30:00-04:00,1718.1,1716.3400000000001,2020-05-13 10:55:00-04:00,STOP,1716.3400000000001,-1.7599999999997635,-1.0
GC,2020-05-13,1718.1,1711.1,1717.4,1712.1,2020-05-13 10:30:00-04:00,Long Breakout,Second,2020-05-13 12:10:00-04:00,1715.28,1713.1599999999999,2020-05-13 12:20:00-04:00,STOP,1713.1599999999999,-2.1200000000001182,-1.0
GC,2020-05-15,1753.2,1740.9,1752.7,1743.0,2020-05-15 11:20:00-04:00,Long Breakout,First,2020-05-15 11:20:00-04:00,1753.2,1750.76,2020-05-15 14:10:00-04:00,STOP,1750.76,-2.4400000000000546,-1.0
GC,2020-05-18,1753.5,1733.6,1751.2,1737.5,2020-05-18 11:25:00-04:00,Short Breakout,First,2020-05-18 11:25:00-04:00,1734.76,1740.24,2020-05-18 15:55:00-04:00,SESSION_CLOSE,1733.7,1.0599999999999454,0.19343065693429598
GC,2020-05-19,1748.5,1738.2,1747.9,1740.5,2020-05-19 10:55:00-04:00,Long Breakout,First,2020-05-19 10:55:00-04:00,1748.5,1746.42,2020-05-19 11:00:00-04:00,STOP,1746.42,-2.0799999999999272,-1.0
GC,2020-05-19,1748.5,1738.2,1747.9,1740.5,2020-05-19 10:55:00-04:00,Long Breakout,Second,2020-05-19 11:05:00-04:00,1744.94,1741.98,2020-05-19 11:35:00-04:00,STOP,1741.98,-2.9600000000000364,-1.0
GC,2020-05-20,1755.5,1747.7,1753.6,1748.5,2020-05-20 10:40:00-04:00,Short Breakout,First,2020-05-20 10:40:00-04:00,1747.7,1749.52,2020-05-20 10:55:00-04:00,STOP,1749.52,-1.8199999999999363,-1.0
GC,2020-05-20,1755.5,1747.7,1753.6,1748.5,2020-05-20 10:40:00-04:00,Short Breakout,Second,2020-05-20 11:00:00-04:00,1750.54,1752.58,2020-05-20 11:25:00-04:00,STOP,1752.58,-2.0399999999999636,-1.0
GC,2020-05-21,1740.8,1722.8,1739.4,1725.3,2020-05-21 10:30:00-04:00,Short Breakout,First,2020-05-21 10:30:00-04:00,1722.8,1728.12,2020-05-21 15:55:00-04:00,SESSION_CLOSE,1724.5,-1.7000000000000455,-0.3195488721804635
GC,2020-05-22,1739.1,1731.3,1738.2,1731.6,2020-05-22 11:45:00-04:00,Short Breakout,First,2020-05-22 11:45:00-04:00,1731.3,1732.9199999999998,2020-05-22 12:15:00-04:00,STOP,1732.9199999999998,-1.6199999999998909,-1.0
GC,2020-05-22,1739.1,1731.3,1738.2,1731.6,2020-05-22 11:45:00-04:00,Short Breakout,Second,2020-05-22 12:35:00-04:00,1734.24,1736.88,2020-05-22 15:55:00-04:00,SESSION_CLOSE,1734.4,-0.16000000000008185,-0.060606060606089314
GC,2020-05-25,1730.1,1718.0,1727.7,1721.0,2020-05-25 10:50:00-04:00,Long Breakout,First,2020-05-25 10:50:00-04:00,1729.04,1726.3600000000001,2020-05-25 18:00:00-04:00,STOP,1726.3600000000001,-2.6799999999998363,-1.0
GC,2020-05-25,1730.1,1718.0,1727.7,1721.0,2020-05-25 10:50:00-04:00,Long Breakout,Second,2020-05-25 18:15:00-04:00,1725.02,1722.34,2020-05-25 23:55:00-04:00,SESSION_CLOSE,1736.3,11.279999999999973,4.208955223880487
GC,2020-05-26,1747.2,1730.2,1747.2,1732.8,2020-05-26 10:35:00-04:00,Short Breakout,First,2020-05-26 10:35:00-04:00,1730.2,1735.68,2020-05-26 15:55:00-04:00,SESSION_CLOSE,1726.4,3.7999999999999545,0.693430656934296
GC,2020-05-27,1715.3,1701.8,1712.7,1701.9,2020-05-27 12:05:00-04:00,Long Breakout,First,2020-05-27 12:05:00-04:00,1714.8600000000001,1710.54,2020-05-27 15:55:00-04:00,SESSION_CLOSE,1727.0,12.139999999999873,2.8101851851850492
GC,2020-05-28,1743.7,1733.7,1741.4,1735.6,2020-05-28 12:20:00-04:00,Short Breakout,First,2020-05-28 12:20:00-04:00,1734.4399999999998,1736.76,2020-05-28 15:55:00-04:00,SESSION_CLOSE,1732.9,1.5399999999997362,0.6637931034481154
GC,2020-05-29,1746.3,1739.9,1745.6,1740.7,2020-05-29 10:30:00-04:00,Long Breakout,First,2020-05-29 10:30:00-04:00,1746.3,1744.62,2020-05-29 10:30:00-04:00,STOP,1744.62,-1.6800000000000637,-1.0
GC,2020-05-29,1746.3,1739.9,1745.6,1740.7,2020-05-29 10:30:00-04:00,Long Breakout,Second,2020-05-29 15:00:00-04:00,1743.6399999999999,1741.68,2020-05-29 15:55:00-04:00,SESSION_CLOSE,1744.8,1.1600000000000819,0.591836734693977
GC,2020-06-01,1747.2,1737.6,1746.1,1742.3,2020-06-01 10:50:00-04:00,Long Breakout,First,2020-06-01 10:50:00-04:00,1746.86,1745.34,2020-06-01 15:55:00-04:00,SESSION_CLOSE,1751.5,4.6400000000001,3.0526315789474707
GC,2020-06-02,1757.0,1752.5,1756.5,1752.7,2020-06-02 10:45:00-04:00,Short Breakout,First,2020-06-02 10:45:00-04:00,1752.5,1753.46,2020-06-02 10:50:00-04:00,STOP,1753.46,-0.9600000000000364,-1.0
GC,2020-06-02,1757.0,1752.5,1756.5,1752.7,2020-06-02 10:45:00-04:00,Short Breakout,Second,2020-06-02 10:50:00-04:00,1754.22,1755.74,2020-06-02 11:25:00-04:00,TARGET,1743.2000000000003,11.019999999999754,7.249999999999925
GC,2020-06-04,1722.3,1704.5,1721.4,1707.6,2020-06-04 12:15:00-04:00,Long Breakout,First,2020-06-04 12:15:00-04:00,1722.3,1718.64,2020-06-04 15:55:00-04:00,SESSION_CLOSE,1723.1,0.7999999999999545,0.21857923497267387
GC,2020-06-05,1688.8,1675.8,1687.9,1675.9,2020-06-05 10:30:00-04:00,Short Breakout,First,2020-06-05 10:30:00-04:00,1675.8,1678.3000000000002,2020-06-05 11:00:00-04:00,STOP,1678.3000000000002,-2.5000000000002274,-1.0
GC,2020-06-05,1688.8,1675.8,1687.9,1675.9,2020-06-05 10:30:00-04:00,Short Breakout,Second,2020-06-05 11:10:00-04:00,1680.7,1685.5,2020-06-05 12:55:00-04:00,STOP,1685.5,-4.7999999999999545,-1.0
GC,2020-06-08,1700.9,1690.0,1700.2,1690.3,2020-06-08 12:40:00-04:00,Long Breakout,First,2020-06-08 12:40:00-04:00,1700.9,1698.22,2020-06-08 15:55:00-04:00,SESSION_CLOSE,1705.6,4.699999999999818,1.7537313432834725
GC,2020-06-09,1729.4,1720.2,1728.6,1721.0,2020-06-09 14:50:00-04:00,Short Breakout,First,2020-06-09 14:50:00-04:00,1720.2,1722.52,2020-06-09 15:55:00-04:00,SESSION_CLOSE,1720.4,-0.20000000000004547,-0.0862068965517461
GC,2020-06-10,1735.2,1727.6,1734.7,1728.1,2020-06-10 10:45:00-04:00,Short Breakout,First,2020-06-10 10:45:00-04:00,1727.6,1729.4199999999998,2020-06-10 14:05:00-04:00,STOP,1729.4199999999998,-1.8199999999999363,-1.0
GC,2020-06-10,1735.2,1727.6,1734.7,1728.1,2020-06-10 10:45:00-04:00,Short Breakout,Second,2020-06-10 14:05:00-04:00,1730.74,1733.38,2020-06-10 14:10:00-04:00,STOP,1733.38,-2.6400000000001,-1.0
GC,2020-06-11,1752.9,1742.5,1752.2,1744.1,2020-06-11 10:50:00-04:00,Long Breakout,First,2020-06-11 10:50:00-04:00,1752.9,1750.58,2020-06-11 11:05:00-04:00,STOP,1750.58,-2.3200000000001637,-1.0
GC,2020-06-11,1752.9,1742.5,1752.2,1744.1,2020-06-11 10:50:00-04:00,Long Breakout,Second,2020-06-11 11:40:00-04:00,1748.96,1745.72,2020-06-11 11:40:00-04:00,STOP,1745.72,-3.240000000000009,-1.0
GC,2020-06-12,1753.0,1744.7,1752.2,1746.7,2020-06-12 11:00:00-04:00,Short Breakout,First,2020-06-12 11:00:00-04:00,1745.6000000000001,1747.8,2020-06-12 11:00:00-04:00,STOP,1747.8,-2.199999999999818,-1.0
GC,2020-06-15,1722.9,1706.2,1722.4,1706.5,2020-06-15 10:30:00-04:00,Long Breakout,First,2020-06-15 10:30:00-04:00,1722.9,1719.22,2020-06-15 15:55:00-04:00,SESSION_CLOSE,1732.9,10.0,2.717391304347779
GC,2020-06-16,1733.2,1722.5,1731.4,1723.9,2020-06-16 10:50:00-04:00,Long Breakout,First,2020-06-16 10:50:00-04:00,1732.9,1729.9,2020-06-16 15:55:00-04:00,SESSION_CLOSE,1735.1,2.199999999999818,0.7333333333332727
GC,2020-06-17,1733.5,1727.9,1731.9,1729.3,2020-06-17 10:45:00-04:00,Long Breakout,First,2020-06-17 11:05:00-04:00,1732.42,1731.38,2020-06-17 11:10:00-04:00,STOP,1731.38,-1.0399999999999636,-1.0
GC,2020-06-17,1733.5,1727.9,1731.9,1729.3,2020-06-17 10:45:00-04:00,Long Breakout,Second,2020-06-17 11:15:00-04:00,1730.8600000000001,1729.82,2020-06-17 15:50:00-04:00,TARGET,1738.4000000000005,7.540000000000418,7.249999999999071
GC,2020-06-19,1749.5,1741.6,1748.5,1742.2,2020-06-19 10:30:00-04:00,Long Breakout,First,2020-06-19 10:30:00-04:00,1749.5,1747.24,2020-06-19 15:55:00-04:00,SESSION_CLOSE,1756.3,6.7999999999999545,3.0088495575221157
