Id,Start,Name,Impact,Currency
f4fa1e58-d634-4276-b296-444574698d84,5/1/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
d9a8fc8e-b69f-4f1d-9881-86f0de74b621,5/1/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
bf8cca20-825d-4e82-92a9-a40adb577909,5/1/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
6cc0891f-0542-4896-96bb-3b0c90dd3409,5/1/08 12:30,Personal Income (MoM),HIGH,USD
e0289489-d8ad-435f-888a-3ca68d2b8553,5/2/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
53dcedb4-67d2-4f51-a12a-c8dd79a311bc,5/2/08 12:30,Average Hourly Earnings (YoY),HIGH,USD
9836ad61-18eb-41c2-9ce5-270ca4ddfde1,5/2/08 12:30,Nonfarm Payrolls,HIGH,USD
3e589bf4-0231-41d7-91b1-d0db46bc0f68,5/2/08 12:30,Unemployment Rate,HIGH,USD
2bf52edc-6818-4918-a727-288b4a9f7927,5/9/08 12:30,Goods and Services Trade Balance,HIGH,USD
a26031e2-e38f-4729-8eea-22bdee8132d6,5/13/08 12:30,Retail Sales (MoM),HIGH,USD
f42c5654-eaa2-4f2e-9552-57cfe32160bb,5/13/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
5e5cbf4e-f12c-4311-a0cc-4e7b0e0390ad,5/14/08 12:30,Consumer Price Index (MoM),HIGH,USD
cddcc0f1-9ad4-4dbb-a2c5-c270761fb3b0,5/14/08 12:30,Consumer Price Index (YoY),HIGH,USD
7dda0ad8-ba35-4493-81cc-b6c56279c1c4,5/14/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
689ceae8-298b-4081-9e53-de6c781632f8,5/14/08 12:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
1c48234f-70c7-42d3-ad3a-3fad4e5756b2,5/28/08 12:30,Durable Goods Orders ex Transportation,HIGH,USD
1ab7d50a-9175-4f1d-81a7-de5921df69a4,5/29/08 12:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
4c778b20-b952-4b59-95b8-46549d37be5e,5/29/08 12:30,Gross Domestic Product Annualized,HIGH,USD
ef24fbc7-bd73-4c96-86f1-220319c84357,5/29/08 12:30,Gross Domestic Product Price Index,HIGH,USD
4295f795-654a-4255-8370-db80c1512546,5/30/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
c1812f89-c237-4e94-9c51-044a1ec0c021,5/30/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
edc52ce5-7ac4-413c-8de8-d6e2e45fff32,5/30/08 12:30,Personal Income (MoM),HIGH,USD
604f6e59-269b-4b78-80c6-8f006672aad8,6/6/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
d7526d81-816f-4ff3-a805-27d7d47238b4,6/6/08 12:30,Average Hourly Earnings (YoY),HIGH,USD
7b8ef9da-ffe3-456e-805d-0ecaf68aaf8a,6/6/08 12:30,Average Weekly Hours,HIGH,USD
6ebd3ed3-7462-400e-a71f-556adb913603,6/6/08 12:30,Nonfarm Payrolls,HIGH,USD
df9062b1-4132-42ac-b59a-47ba94e2d20d,6/6/08 12:30,Unemployment Rate,HIGH,USD
c593a5df-1868-434f-a76c-b6e89a2f5288,6/10/08 12:30,Goods and Services Trade Balance,HIGH,USD
0862c171-1ea8-40c6-9c47-6ffa398471f1,6/12/08 12:30,Import Price Index (MoM),HIGH,USD
457bc7f7-a659-4ed4-9492-00611fc2df48,6/12/08 12:30,Import Price Index (YoY),HIGH,USD
6755d6b2-4890-463f-b452-476937017b99,6/12/08 12:30,Retail Sales (MoM),HIGH,USD
11b5e9ca-46e7-48a1-af59-a7bc5035653f,6/12/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
0c37635e-c856-4e99-ab26-8b9e01005435,6/13/08 12:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
e2c65276-227a-4565-9a79-f28cc4522964,6/13/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
f3823ac5-8c9d-46d8-860a-edc3921dee91,6/25/08 18:15,Fed Interest Rate Decision,HIGH,USD
5daf72ee-8c29-41e9-8d73-ed85dd72971e,6/26/08 12:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
072ee683-bbe4-44bd-955b-c3218e2db2ba,6/26/08 12:30,Gross Domestic Product Price Index,HIGH,USD
d5e3ce44-fed4-48bb-a40a-3aa306950710,6/27/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
c4ea6506-65ff-49e5-8ffe-1d9b33ac8566,6/27/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
d7bcb18a-a19e-4dc3-b760-a9cc584ff698,6/27/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
f994b612-cadc-4c5d-8d00-2038c86e38ab,6/27/08 12:30,Personal Income (MoM),HIGH,USD
255673bc-0b59-431b-8a10-31ff48be7421,6/27/08 14:00,Michigan Consumer Sentiment Index,HIGH,USD
c8013c28-f6cb-4134-b990-8afe4e5dda27,7/3/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
1e217382-03dd-4144-a54e-2a6a64c97ccb,7/3/08 12:30,Average Weekly Hours,HIGH,USD
acb264a8-f694-478d-808b-09bc48aa096f,7/3/08 12:30,Nonfarm Payrolls,HIGH,USD
7d4f857d-b9ca-44b8-bc15-aca84f9b288e,7/3/08 12:30,Unemployment Rate,HIGH,USD
c4c35405-09fc-44f1-acc0-d04514d95946,7/11/08 12:30,Goods and Services Trade Balance,HIGH,USD
dee61606-f132-4858-a216-d17348c13ff2,7/15/08 12:30,Retail Sales (MoM),HIGH,USD
dca34524-da58-42b5-ae2c-add21d391876,7/15/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
1d527324-85d8-4945-a17d-71b57989990e,7/16/08 12:30,Consumer Price Index (YoY),HIGH,USD
741c3fcc-4568-4ffe-a8ed-9fea809e8072,7/16/08 12:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
6aaf5525-3721-4351-babb-4bd2b6e486d2,7/16/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
915f597b-ede6-4bc2-9a99-0aa924902e23,7/25/08 14:00,New Home Sales (MoM),HIGH,USD
afcf1860-10d9-402a-a52a-56261f4c705e,7/31/08 12:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
4b4e90c9-e007-4dc7-a166-9b3e4ac17d63,7/31/08 12:30,Gross Domestic Product Annualized,HIGH,USD
95c6ec0f-4812-4c16-a772-93a34f407af7,7/31/08 12:30,Gross Domestic Product Price Index,HIGH,USD
240dd1bc-a71c-42d4-bef1-9c727645159b,8/1/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
ffd34d2d-77a4-4d5a-b703-f5feaee57a91,8/1/08 12:30,Average Weekly Hours,HIGH,USD
ab694f7c-207a-43f7-8b5d-2dc5d8c2c481,8/1/08 12:30,Nonfarm Payrolls,HIGH,USD
42ae85b0-cfd2-451a-983e-2054f1c7297f,8/1/08 12:30,Unemployment Rate,HIGH,USD
5d898f69-e51a-4516-a3f5-a568f764acea,8/4/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
762983d0-14ee-4a34-bcfb-37597a6a52ab,8/4/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
f9a89313-d380-4d70-84db-fd2a1640d990,8/4/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
99abbdcf-a4b8-486f-8c8f-199d6c20fabf,8/4/08 12:30,Personal Income (MoM),HIGH,USD
9fea07e4-4cd8-4615-ac9f-636ebc132922,8/5/08 18:15,Fed Interest Rate Decision,HIGH,USD
ff202806-f687-4125-aebc-10b51a2eee5c,8/12/08 12:30,Goods and Services Trade Balance,HIGH,USD
39656083-e68c-4e95-96ac-7688f27b1625,8/13/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
c30050ff-e605-4c07-8036-fd4b4d200e26,8/14/08 12:30,Consumer Price Index (YoY),HIGH,USD
7a3bb872-c904-484a-95c1-ef1bbb94f1f3,8/14/08 12:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
58dbfead-b3f8-4bae-9a6c-fec18e96cc4d,8/14/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
24b95098-b6cc-4784-83cd-3bf2442afdd7,8/26/08 18:00,FOMC Minutes,HIGH,USD
b99ac41b-8026-453f-9af5-43ffa5236c58,8/29/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
563233aa-13e8-4f70-b6c5-a49ec3fce78b,8/29/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
4d605e1f-8249-4dd1-b08d-33627d5bcb4b,9/5/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
f6220d8e-5714-408e-b70e-de81a5bb60a0,9/5/08 12:30,Average Hourly Earnings (YoY),HIGH,USD
92aa6e9b-07e1-47af-b834-bd2594b69d76,9/5/08 12:30,Nonfarm Payrolls,HIGH,USD
744c5a70-7e21-4a5b-9f58-f8360ea87a42,9/5/08 12:30,Unemployment Rate,HIGH,USD
d94e3a26-6316-42d8-a78c-32e32d549d15,9/11/08 12:30,Goods and Services Trade Balance,HIGH,USD
5ca9ff45-5850-4454-9e98-fda73f4d81d4,9/12/08 12:30,Retail Sales (MoM),HIGH,USD
57445d57-85c5-4e9a-b994-6114c2fd0d97,9/12/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
f2c8ee8f-3fee-4c23-885b-921b48d1de76,9/16/08 12:30,Consumer Price Index (YoY),HIGH,USD
f5818282-ea16-4466-af51-3cfbbf8d09b9,9/16/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
aa6b9c83-e518-4fec-a465-2611aa725f0d,9/16/08 18:15,Fed Interest Rate Decision,HIGH,USD
6dd3e431-c5ea-42fb-8cd8-9c12ff4bc6ff,9/26/08 12:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
75056149-9488-40b6-b34d-e0618e26d673,9/26/08 12:30,Gross Domestic Product Annualized,HIGH,USD
2b451260-f966-424e-939d-6fabe535c959,9/26/08 12:30,Gross Domestic Product Price Index,HIGH,USD
540b5c4d-c1f4-4156-a870-38572370f923,9/29/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
782897d6-5145-45c7-995e-2ec12c77d939,9/29/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
25f57562-9f9d-4e3d-9ec8-bb6a49f9f210,9/29/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
5e84ef43-128c-4aa8-9bcd-257f14e1881d,9/29/08 12:30,Personal Income (MoM),HIGH,USD
ea6c5256-10c8-4e50-92e6-b7f5ffd8a2d1,9/30/08 12:45,President Bush speaks about Markets Volatility,HIGH,USD
02692b20-9cdd-429d-bd92-54ff3b6d68cf,10/3/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
ea239b3d-b8da-4c9e-a8c9-284b2a3f3397,10/3/08 12:30,Average Hourly Earnings (YoY),HIGH,USD
51828812-c7c3-42db-bbf1-7626d16a06cd,10/3/08 12:30,Average Weekly Hours,HIGH,USD
2fd1a349-5b91-44d3-9cc6-47f3b3ef82c3,10/3/08 12:30,Nonfarm Payrolls,HIGH,USD
efdabcfc-05f8-49da-beaa-e518ea90d406,10/3/08 12:30,Unemployment Rate,HIGH,USD
708e7ae9-9086-4b73-8226-2d67b7f2591c,10/7/08 18:00,FOMC Minutes,HIGH,USD
e3acbbc7-6aeb-467a-90d7-150219e947fe,10/8/08 11:00,Fed Interest Rate Decision,HIGH,USD
34ccdad7-81ff-491c-86d0-d725b78cddbc,10/10/08 12:30,Goods and Services Trade Balance,HIGH,USD
abf84d5b-05ee-47e6-905b-23c2a27defe3,10/10/08 14:00,President Bush speaks about Markets Volatility,HIGH,USD
9481c450-2ea3-4864-8ab8-53e09075eac2,10/15/08 12:30,Retail Sales (MoM),HIGH,USD
e70094a7-eeea-4a27-9a8f-fcc537bce872,10/15/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
a9abfdf8-53cf-4793-a469-07d73453422a,10/16/08 12:30,Consumer Price Index (YoY),HIGH,USD
a045807e-4c39-42b1-b223-49f4a91e39f4,10/16/08 12:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
cab5fe70-fee4-46b0-be2f-0bb5ca9e471b,10/16/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
00fd50b9-0634-461d-8006-9c971ab0b81f,10/29/08 18:15,Fed Interest Rate Decision,HIGH,USD
5ce54de6-6082-4df7-ad43-d7d0c3907c02,10/30/08 12:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
3e6d3963-84d8-4efb-9cf8-09b2b697c679,10/30/08 12:30,Gross Domestic Product Annualized,HIGH,USD
dc657a90-4860-4902-8b4b-32c954c994fa,10/30/08 12:30,Gross Domestic Product Price Index,HIGH,USD
9a7eaa89-dee5-4a5a-8dfd-d3d4b6bb43c9,10/31/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
f66293cf-5e07-4483-a606-d74234361ae6,10/31/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
b98fa934-ce06-4467-b255-561fb8168c10,10/31/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
40666ff7-dd42-44c0-8be5-b425d3245938,10/31/08 12:30,Personal Income (MoM),HIGH,USD
785ad6bd-f33a-4318-b6a1-9c6ceb80f309,11/5/08 0:00,Presidential Election,HIGH,USD
37225cc5-a545-4f54-b862-519dd61c7265,11/7/08 13:30,Average Hourly Earnings (MoM),HIGH,USD
cb5cb896-1653-4f16-975c-f08090ef1699,11/7/08 13:30,Average Hourly Earnings (YoY),HIGH,USD
d29e28cd-c2ad-4f01-915c-c3fa3c6a565c,11/7/08 13:30,Average Weekly Hours,HIGH,USD
2b123731-45a4-4d78-87a7-62ba6edaa3c7,11/7/08 13:30,Nonfarm Payrolls,HIGH,USD
8f1a896f-32ee-4cb9-a5de-34d175117d19,11/7/08 13:30,Unemployment Rate,HIGH,USD
31579fb6-278a-4e28-9c3b-977488b979f7,11/13/08 13:30,Goods and Services Trade Balance,HIGH,USD
8e7abcbf-78b4-4d8a-b60f-4954db24ae7b,11/14/08 13:30,Former Fed's Chair Bernanke speech,HIGH,USD
c9fc87f6-9c39-47f9-9c3a-d2e3fce165c4,11/14/08 13:30,Retail Sales (MoM),HIGH,USD
cec437a9-6f45-4db4-97c2-26a069400ea4,11/14/08 13:30,Retail Sales ex Autos (MoM),HIGH,USD
fc6bad44-d153-43ca-9b21-947539e34b30,11/18/08 14:30,Fed's Chair Bernanke testifies,HIGH,USD
d8eb226f-0dfc-4f44-9c67-e88cb045882e,11/19/08 13:30,Consumer Price Index (MoM),HIGH,USD
da6c37da-a495-4a09-8bde-aab493fba090,11/19/08 13:30,Consumer Price Index (YoY),HIGH,USD
d0459744-3b7a-4388-a292-1bf84fa10abb,11/19/08 13:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
0e752f93-4c1a-4efc-a595-8e02b1f6f013,11/19/08 13:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
