session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20250328-RR,2025-03-28,RR,2025-03-28 10:25:00-04:00,breakout_long,6.741652488708496,0.0,0.4387593517741638,6.741652488708496,6.741652488708496,0.0,0.0,-1,1159.228147068223,15.365262213666794,,102.84898426017622,,,20569.79685203521,2021-01-01,2024-12-31,2025-01-01,2025-03-31
ES-20250328-TOUT,2025-03-28,TOUT,2025-03-28 16:55:00-04:00,breakout_short,10.483546257019043,0.0,1.0480693758984516,10.483546257019043,10.483546257019043,18.0,1.0,1,1177.228147068223,10.002721669099511,1.799510232860497,104.64849449303672,0.3998911628578882,359.9020465720994,20929.698898607312,2021-01-01,2024-12-31,2025-01-01,2025-03-31
ES-20250328-OR,2025-03-28,OR,2025-03-31 03:55:00-04:00,breakout_short,2.2308590412139893,0.0,0.23609326511830842,2.2308590412139893,2.2308590412139893,6.5,1.0,1,1183.728147068223,9.449058362999411,0.687899232949251,105.33639372598597,0.42332260489184675,137.5798465898502,21067.278745197164,2021-01-01,2024-12-31,2025-01-01,2025-03-31
ES-20250331-TOUT,2025-03-31,TOUT,2025-03-31 16:55:00-04:00,breakout_short,3.158501386642456,0.0,0.31009659850326826,3.158501386642456,3.158501386642456,4.0,1.0,1,1187.728147068223,10.185540253867593,0.3927135822256599,105.72910730821162,0.3927135822256599,78.54271644513197,21145.821461642296,2021-01-01,2024-12-31,2025-01-01,2025-03-31
ES-20250331-OR,2025-03-31,OR,2025-04-01 03:55:00-04:00,breakout_short,2.2618863582611084,0.0,0.24171973690150264,2.2618863582611084,2.2618863582611084,-9.6074748477522,1.0,0,1178.1206722204709,9.357474847752275,-1.0267166093489395,104.70239069886269,0.4274657495831608,-205.3433218697879,20940.47813977251,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250401-RR,2025-04-01,RR,2025-04-01 10:25:00-04:00,breakout_short,1.3772382736206055,0.0,0.08861767440551366,1.3772382736206055,1.3772382736206055,0.0,0.0,-1,1178.1206722204709,15.54134976865197,,104.70239069886269,,,20940.47813977251,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250401-TOUT,2025-04-01,TOUT,2025-04-01 16:55:00-04:00,breakout_short,1.048373818397522,0.0,0.1028201309952225,1.048373818397522,1.048373818397522,0.0,0.0,-1,1178.1206722204709,10.196192207207305,,104.70239069886269,,,20940.47813977251,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250401-OR,2025-04-01,OR,2025-04-02 03:55:00-04:00,breakout_short,1.428707480430603,0.0,0.15203046063265332,1.428707480430603,1.428707480430603,-9.647508068352181,1.0,0,1168.4731641521187,9.397508068351819,-1.0266027970587535,103.67578790180393,0.4256447529394396,-205.3205594117507,20735.15758036076,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250401-TR,2025-04-01,TR,2025-04-02 09:25:00-04:00,breakout_short,2.431800127029419,0.0,0.16850338098458273,2.431800127029419,2.431800127029419,-14.681758655643534,1.0,0,1153.7914054964751,14.431758655643339,-1.0173229060965787,102.65846499570735,0.2771664975450414,-203.4645812193157,20531.692999141444,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250403-RR,2025-04-03,RR,2025-04-03 10:25:00-04:00,breakout_long,4.197484493255615,0.0,0.29827448475721813,4.197484493255615,4.197484493255615,0.0,0.0,-1,1153.7914054964751,14.072556345783907,,102.65846499570735,,,20531.692999141444,2021-04-01,2025-03-31,2025-04-01,2025-06-30
