setup,r_band,horizon,trades,win_rate,totalR,avgR,trades_win_totalR
wddrb_completion,R3_4,session,190,0.02631578947368421,-97.5,-0.5131578947368421,-487.5
wddrb_completion,R4_5,1h,112,0.008928571428571428,-59.0,-0.5267857142857143,-59.0
wddrb_completion,R4_5,2h,112,0.017857142857142856,-66.5,-0.59375,-133.0
wddrb_completion,R4_5,4h,112,0.017857142857142856,-78.5,-0.7008928571428571,-157.0
wddrb_completion,R4_5,session,112,0.017857142857142856,-64.66666666666667,-0.5773809523809524,-129.33333333333334
wddrb_completion,R5_8,1h,170,0.011764705882352941,-100.0,-0.5882352941176471,-200.0
wddrb_completion,R5_8,2h,170,0.011764705882352941,-121.0,-0.711764705882353,-242.0
wddrb_completion,R5_8,4h,170,0.01764705882352941,-129.0,-0.7588235294117647,-387.0
wddrb_completion,R5_8,session,170,0.01764705882352941,-112.0,-0.6588235294117647,-336.0
wddrb_completion,R8_plus,1h,231,0.004329004329004329,-176.0,-0.7619047619047619,-176.0
wddrb_completion,R8_plus,2h,231,0.004329004329004329,-192.0,-0.8311688311688312,-192.0
wddrb_completion,R8_plus,4h,231,0.004329004329004329,-206.0,-0.8917748917748918,-206.0
wddrb_completion,R8_plus,session,231,0.004329004329004329,-186.0,-0.8051948051948052,-186.0
asia_rotation,R2_3,1h,289,0.09688581314878893,-117.48809523809524,-0.4065332015159005,-3289.666666666667
asia_rotation,R2_3,2h,289,0.11072664359861592,-119.04761904761904,-0.41192947767342225,-3809.523809523809
asia_rotation,R2_3,4h,289,0.11418685121107267,-146.04761904761904,-0.5053550832097544,-4819.571428571428
asia_rotation,R2_3,session,289,0.10726643598615918,-124.04761904761904,-0.42923051573570603,-3845.47619047619
asia_rotation,R3_4,1h,142,0.07042253521126761,-53.10274725274726,-0.37396300882216377,-531.0274725274726
asia_rotation,R3_4,2h,142,0.07042253521126761,-62.10274725274726,-0.43734329051230464,-621.0274725274726
asia_rotation,R3_4,4h,142,0.09154929577464789,-64.16941391941393,-0.4518972811226333,-834.2023809523811
asia_rotation,R3_4,session,142,0.07042253521126761,-66.50274725274726,-0.46832920600526234,-665.0274725274726
asia_rotation,R4_5,1h,69,0.028985507246376812,-31.5,-0.45652173913043476,-63.0
asia_rotation,R4_5,2h,69,0.043478260869565216,-32.16666666666667,-0.4661835748792271,-96.50000000000001
asia_rotation,R4_5,4h,69,0.043478260869565216,-43.16666666666667,-0.6256038647342996,-129.5
asia_rotation,R4_5,session,69,0.043478260869565216,-39.16666666666667,-0.567632850241546,-117.50000000000001
asia_rotation,R5_8,1h,127,0.031496062992125984,-44.5,-0.35039370078740156,-178.0
asia_rotation,R5_8,2h,127,0.03937007874015748,-50.833333333333336,-0.4002624671916011,-254.16666666666669
asia_rotation,R5_8,4h,127,0.03937007874015748,-68.83333333333334,-0.5419947506561681,-344.16666666666674
asia_rotation,R5_8,session,127,0.03937007874015748,-55.833333333333336,-0.43963254593175854,-279.1666666666667
asia_rotation,R8_plus,1h,291,0.0,-193.0,-0.6632302405498282,-0.0
asia_rotation,R8_plus,2h,291,0.0,-225.0,-0.7731958762886598,-0.0
asia_rotation,R8_plus,4h,291,0.0,-251.0,-0.8625429553264605,-0.0
asia_rotation,R8_plus,session,291,0.0,-233.0,-0.8006872852233677,-0.0
breakout_continuation,R2_3,1h,123,0.07317073170731707,-54.7724592161214,-0.4453045464725317,-492.95213294509256
breakout_continuation,R2_3,2h,123,0.0975609756097561,-60.09745921612152,-0.48859722939936195,-721.1695105934582
breakout_continuation,R2_3,4h,123,0.0975609756097561,-72.09745921612152,-0.5861582050091181,-865.1695105934582
breakout_continuation,R2_3,session,123,0.0975609756097561,-60.85469925499402,-0.49475365247962616,-730.2563910599282
breakout_continuation,R3_4,1h,32,0.0625,-16.05208333333303,-0.5016276041666572,-32.10416666666606
breakout_continuation,R3_4,2h,32,0.09375,-14.05208333333303,-0.4391276041666572,-42.15624999999909
breakout_continuation,R3_4,4h,32,0.125,-11.30208333333303,-0.3531901041666572,-45.20833333333212
breakout_continuation,R3_4,session,32,0.09375,-13.05208333333303,-0.4078776041666572,-39.15624999999909
breakout_continuation,R4_5,1h,23,0.043478260869565216,-13.0,-0.5652173913043478,-13.0
breakout_continuation,R4_5,2h,23,0.043478260869565216,-15.0,-0.6521739130434783,-15.0
breakout_continuation,R4_5,4h,23,0.043478260869565216,-16.0,-0.6956521739130435,-16.0
breakout_continuation,R4_5,session,23,0.08695652173913043,-11.5,-0.5,-23.0
breakout_continuation,R5_8,1h,24,0.041666666666666664,-15.0,-0.625,-15.0
breakout_continuation,R5_8,2h,24,0.041666666666666664,-17.0,-0.7083333333333334,-17.0
breakout_continuation,R5_8,4h,24,0.041666666666666664,-17.0,-0.7083333333333334,-17.0
breakout_continuation,R5_8,session,24,0.041666666666666664,-17.0,-0.7083333333333334,-17.0
breakout_continuation,R8_plus,1h,5,0.0,-3.0,-0.6,-0.0
breakout_continuation,R8_plus,2h,5,0.0,-3.0,-0.6,-0.0
breakout_continuation,R8_plus,4h,5,0.0,-4.0,-0.8,-0.0
breakout_continuation,R8_plus,session,5,0.0,-3.0,-0.6,-0.0
