min_planned_r,quality,archetypes,trades,months,trades_per_month,median_trades_per_month,win_rate,stop_rate,timeout_rate,total_r,avg_r
2.5,clean_only,range+post,7.0,5.0,1.4,1.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,4.0331668728737755,0.5761666961248251
2.5,clean_only,range+after,10.0,5.0,2.0,2.0,0.2,0.5,0.3,5.383958474325239,0.5383958474325239
2.5,clean_only,post+after,13.0,7.0,1.8571428571428572,2.0,0.23076923076923078,0.5384615384615384,0.23076923076923078,4.988553918627586,0.3837349168175066
2.5,clean_only,range+post+after,15.0,7.0,2.142857142857143,2.0,0.2,0.5333333333333333,0.26666666666666666,7.202839632913301,0.48018930886088673
3.0,all,all,58.0,7.0,8.285714285714286,7.0,0.034482758620689655,0.7413793103448276,0.22413793103448276,6.997739020514489,0.12065067276749118
3.0,all,range_start,9.0,5.0,1.8,1.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,6.808352365826168,0.7564835962029075
3.0,all,after_formed,29.0,7.0,4.142857142857143,4.0,0.034482758620689655,0.7241379310344828,0.2413793103448276,-6.5664048511031865,-0.22642775348631677
3.0,all,post_breakout,20.0,7.0,2.857142857142857,3.0,0.0,0.8,0.2,6.755791505791507,0.3377895752895753
3.0,all,range+post,29.0,7.0,4.142857142857143,4.0,0.034482758620689655,0.7586206896551724,0.20689655172413793,13.564143871617677,0.4677290990212992
3.0,all,range+after,38.0,7.0,5.428571428571429,4.0,0.05263157894736842,0.7105263157894737,0.23684210526315788,0.24194751472298037,0.006367039861131063
3.0,all,post+after,49.0,7.0,7.0,7.0,0.02040816326530612,0.7551020408163265,0.22448979591836735,0.18938665468832205,0.00386503376914943
3.0,all,range+post+after,58.0,7.0,8.285714285714286,7.0,0.034482758620689655,0.7413793103448276,0.22413793103448276,6.997739020514489,0.12065067276749118
3.0,clean_mixed,all,18.0,7.0,2.5714285714285716,2.0,0.05555555555555555,0.6666666666666666,0.2777777777777778,15.499058098485143,0.8610587832491746
3.0,clean_mixed,range_start,5.0,3.0,1.6666666666666667,1.0,0.0,0.8,0.2,-0.7857142857142856,-0.1571428571428571
3.0,clean_mixed,after_formed,9.0,5.0,1.8,2.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,-1.3223704729434287,-0.14693005254926986
3.0,clean_mixed,post_breakout,4.0,4.0,1.0,1.0,0.0,0.5,0.5,17.607142857142858,4.401785714285714
3.0,clean_mixed,range+post,9.0,5.0,1.8,1.0,0.0,0.6666666666666666,0.3333333333333333,16.821428571428573,1.8690476190476193
3.0,clean_mixed,range+after,14.0,6.0,2.3333333333333335,2.0,0.07142857142857142,0.7142857142857143,0.21428571428571427,-2.1080847586577147,-0.15057748276126534
3.0,clean_mixed,post+after,13.0,6.0,2.1666666666666665,2.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,16.284772384199428,1.2526747987845714
3.0,clean_mixed,range+post+after,18.0,7.0,2.5714285714285716,2.0,0.05555555555555555,0.6666666666666666,0.2777777777777778,15.499058098485143,0.8610587832491746
3.0,clean_only,all,10.0,7.0,1.4285714285714286,1.0,0.1,0.6,0.3,3.067239916666961,0.30672399166669606
3.0,clean_only,range_start,2.0,2.0,1.0,1.0,0.0,0.5,0.5,2.2142857142857144,1.1071428571428572
3.0,clean_only,after_formed,5.0,4.0,1.25,1.0,0.2,0.6,0.2,0.995811345238389,0.1991622690476778
3.0,clean_only,post_breakout,3.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,-0.1428571428571428,-0.047619047619047596
3.0,clean_only,range+post,5.0,4.0,1.25,1.0,0.0,0.6,0.4,2.0714285714285716,0.4142857142857143
3.0,clean_only,range+after,7.0,5.0,1.4,1.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,3.210097059524103,0.45858529421772903
3.0,clean_only,post+after,8.0,6.0,1.3333333333333333,1.0,0.125,0.625,0.25,0.852954202381246,0.10661927529765575
3.0,clean_only,range+post+after,10.0,7.0,1.4285714285714286,1.0,0.1,0.6,0.3,3.067239916666961,0.30672399166669606
3.5,all,all,49.0,7.0,7.0,6.0,0.02040816326530612,0.7346938775510204,0.24489795918367346,10.006578838066797,0.20421589465442444
3.5,all,range_start,9.0,5.0,1.8,1.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,6.808352365826168,0.7564835962029075
3.5,all,after_formed,21.0,6.0,3.5,3.0,0.0,0.7142857142857143,0.2857142857142857,-4.557565033550877,-0.21702690635956556
3.5,all,post_breakout,19.0,7.0,2.7142857142857144,3.0,0.0,0.7894736842105263,0.21052631578947367,7.755791505791507,0.4081995529363951
3.5,all,range+post,28.0,7.0,4.0,4.0,0.03571428571428571,0.75,0.21428571428571427,14.564143871617674,0.520147995414917
3.5,all,range+after,30.0,7.0,4.285714285714286,2.0,0.03333333333333333,0.7,0.26666666666666666,2.2507873322752907,0.07502624440917635
3.5,all,post+after,40.0,7.0,5.714285714285714,6.0,0.0,0.75,0.25,3.198226472240627,0.07995566180601568
3.5,all,range+post+after,49.0,7.0,7.0,6.0,0.02040816326530612,0.7346938775510204,0.24489795918367346,10.006578838066797,0.20421589465442444
3.5,clean_mixed,all,16.0,7.0,2.2857142857142856,1.0,0.0,0.6875,0.3125,13.107897916037452,0.8192436197523407
3.5,clean_mixed,range_start,5.0,3.0,1.6666666666666667,1.0,0.0,0.8,0.2,-0.7857142857142856,-0.1571428571428571
3.5,clean_mixed,after_formed,7.0,5.0,1.4,1.0,0.0,0.7142857142857143,0.2857142857142857,-3.7135306553911205,-0.5305043793415887
3.5,clean_mixed,post_breakout,4.0,4.0,1.0,1.0,0.0,0.5,0.5,17.607142857142858,4.401785714285714
3.5,clean_mixed,range+post,9.0,5.0,1.8,1.0,0.0,0.6666666666666666,0.3333333333333333,16.821428571428573,1.8690476190476193
3.5,clean_mixed,range+after,12.0,6.0,2.0,1.0,0.0,0.75,0.25,-4.499244941105406,-0.3749370784254505
3.5,clean_mixed,post+after,11.0,6.0,1.8333333333333333,1.5,0.0,0.6363636363636364,0.36363636363636365,13.893612201751736,1.2630556547047034
3.5,clean_mixed,range+post+after,16.0,7.0,2.2857142857142856,1.0,0.0,0.6875,0.3125,13.107897916037452,0.8192436197523407
3.5,clean_only,all,9.0,6.0,1.5,1.0,0.0,0.6666666666666666,0.3333333333333333,-0.3239202657807305,-0.03599114064230339
3.5,clean_only,range_start,2.0,2.0,1.0,1.0,0.0,0.5,0.5,2.2142857142857144,1.1071428571428572
3.5,clean_only,after_formed,4.0,3.0,1.3333333333333333,1.0,0.0,0.75,0.25,-2.395348837209302,-0.5988372093023255
3.5,clean_only,post_breakout,3.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,-0.1428571428571428,-0.047619047619047596
3.5,clean_only,range+post,5.0,4.0,1.25,1.0,0.0,0.6,0.4,2.0714285714285716,0.4142857142857143
3.5,clean_only,range+after,6.0,4.0,1.5,1.0,0.0,0.6666666666666666,0.3333333333333333,-0.18106312292358795,-0.030177187153931324
3.5,clean_only,post+after,7.0,5.0,1.4,1.0,0.0,0.7142857142857143,0.2857142857142857,-2.538205980066445,-0.36260085429520644
3.5,clean_only,range+post+after,9.0,6.0,1.5,1.0,0.0,0.6666666666666666,0.3333333333333333,-0.3239202657807305,-0.03599114064230339
