event_type,session,events,pct_any,pct_any_session,pct_weekly,pct_monthly,pct_darkpool,pct_prior_ar,pct_prior_or,pct_prior_rr,pct_wick_perfect,pct_close_perfect,n_any,n_any_session,n_weekly,n_monthly,n_darkpool,n_prior_ar,n_prior_or,n_prior_rr,n_wick_perfect,n_close_perfect
session_high,AS,4589,0.5285651984300044,0.329191192500545,0.3323150774601789,0.17618839947666812,0.25430752453653216,0.1266623065184216,0.17069980379332897,0.17004578155657293,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_high,OR,4589,0.5246402093327519,0.33049923697405714,0.3423521710669867,0.17400784997819452,0.24580152671755726,0.1249182472204055,0.1672116851972967,0.1750599520383693,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_high,OS,4589,0.5109027474923681,0.2969260954872466,0.32991490290202924,0.1689925861317052,0.23555070883315157,0.10551558752997602,0.1434488772618269,0.16415958142576847,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_high,RR,4589,0.5457915394679459,0.460867669500763,0.3423521710669867,0.17553423462712603,0.27001090512540893,0.19119250054501852,0.27970350991933723,0.210377152823196,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_high,RS,4589,0.5189707806367204,0.34663178548070633,0.32358716997599823,0.17836894897514174,0.2549618320610687,0.1342925659472422,0.18116415958142576,0.1802921299324177,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_low,AR,4589,0.5479720889664196,0.34946588183998256,0.359371590661139,0.1757522895769734,0.2617230098146129,0.1329845214737301,0.1868323522999782,0.18705035971223022,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_low,AS,4589,0.5586567815089403,0.33725746675386964,0.37180885882609643,0.18163977322285216,0.2584514721919302,0.1382166993677785,0.17702201874863746,0.17680401133638543,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_low,OR,4589,0.5564762320104666,0.3261390887290168,0.359807986035348,0.1842564326210205,0.25997818974918213,0.12535426204490951,0.17178984085458907,0.1696097667320689,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_low,OS,4589,0.5514609681639773,0.3213429256594724,0.3674449050840061,0.1785870039249891,0.25779716466739366,0.11401787660780467,0.16415958142576847,0.18072814475692173,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_low,RR,4589,0.5937636284343655,0.4935687813385655,0.38097316168448614,0.19123419101613606,0.2850599781897492,0.20361892304338347,0.29779812513625464,0.22977981251362548,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
session_low,RS,4589,0.5774095071958133,0.3642903858731197,0.3750818241326642,0.1910161360662887,0.2719738276990185,0.1395247438412906,0.18923043383475038,0.18923043383475038,,,4586,4587,4583,4586,4585,4587,4587,4587,0,0
