entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,pred_win_prob,expected_r,rej_count,rej_long_share,rej_wick_mean,rej_conf_mean,p_bias,rej_24h_orientation,current_session_break_out,first_break_true,dist_cluster_darkpool,dist_cluster_weekly,dist_cluster_monthly,target_sd_1,target_sd_2,target_sd_3,target_session_max_ext,target_intraday_pct_level,target_daycycle_pct_level,target_prev_wddrb_hi,target_prev_wddrb_lo,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1735871100,2025-01-03 02:25:00+00:00,2025-01-02 21:25:00-05:00,2025-01-02,AS,short,5932.0,5932.75,5927.8905,daycycle_pct_level,5.479333333332761,0.9959575738213053,5.453141106645608,35.0,0.0,0.2857142857142857,1.302857142857143,-0.06000000000000005,bearish,False,False,,,2.5,,,,,,5927.8905,5985.0,5874.75,tp,5.479333333332761,tp,5.479333333332761,tp,5.479333333332761,tp,5.479333333332761
1748919900,2025-06-03 03:05:00+00:00,2025-06-02 23:05:00-04:00,2025-06-02,AS,short,5926.0,5929.0,5909.59735114331,intraday_pct_level,5.467549618896555,0.9960288966864373,5.441866311174324,5.0,0.0,0.6,1.5199999999999942,-0.5,bearish,True,True,,,,5924.235294117647,5922.470588235294,5920.705882352941,5923.871972318339,5909.59735114331,,5949.0,5870.5,open,0.0,open,0.0,open,0.0,tp,5.467549618896555
1738224900,2025-01-30 08:15:00+00:00,2025-01-30 03:15:00-05:00,2025-01-30,OR,short,6097.75,6087.5,6042.25,prev_wddrb_lo,5.414634146341464,0.9998535461799828,5.41369469866672,54.0,0.0,0.24074074074074073,1.5305555555555552,0.0,bearish,False,True,,,,6095.45,6093.15,6090.85,6097.75,,6072.605,6091.25,6042.25,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1744641900,2025-04-14 14:45:00+00:00,2025-04-14 10:45:00-04:00,2025-04-14,RS,short,5483.0,5449.0,5302.96625,daycycle_pct_level,5.295110294117635,0.9999554138817682,5.294829619585779,13.0,0.0,0.23076923076923078,1.6153846153846148,-0.5800000000000001,bearish,False,True,,,,5482.0952380952385,5481.190476190476,5480.285714285715,5483.0,,5302.96625,5496.5,5444.25,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1747363500,2025-05-16 02:45:00+00:00,2025-05-15 22:45:00-04:00,2025-05-15,AS,short,5931.75,5936.25,5907.9344577767715,intraday_pct_level,5.292342716272994,0.9970030523741338,5.273484894708323,22.0,0.0,0.22727272727272727,1.4886363636363624,-0.34,bearish,True,False,,,,5931.321428571428,5930.892857142857,5930.464285714285,5931.198979591837,5907.9344577767715,,5944.5,5884.5,open,0.0,open,0.0,stop,-1.0,stop,-1.0
1737533700,2025-01-22 08:15:00+00:00,2025-01-22 03:15:00-05:00,2025-01-22,OR,short,6106.75,6117.75,6049.049,daycycle_pct_level,5.245545454545456,0.9998723794197738,5.244748394410718,13.0,0.0,0.23076923076923078,1.2076923076923065,-1.0,bearish,False,True,,,,6105.194444444444,6103.638888888889,6102.083333333333,6106.75,,6049.049,6087.25,6043.5,open,0.0,open,0.0,open,0.0,stop,-1.0
1743577800,2025-04-02 07:10:00+00:00,2025-04-02 03:10:00-04:00,2025-04-02,OR,short,5662.5,5650.5,5600.25,prev_wddrb_lo,5.1875,0.9995260257862477,5.184567284552408,25.0,0.0,0.2,1.2879999999999998,-1.0,bearish,False,True,,,,5661.1,5659.7,5658.3,5662.5,5643.3581994928145,,5694.75,5600.25,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738025100,2025-01-28 00:45:00+00:00,2025-01-27 19:45:00-05:00,2025-01-27,AR,short,6043.75,6049.5,6014.1485,daycycle_pct_level,5.148086956521698,0.999988913257766,5.1480187942663775,75.0,0.0,0.2,1.7513333333333332,-0.13999999999999996,bearish,False,,,,,6043.25,6042.75,6042.25,6043.75,,6014.1485,6048.75,5996.75,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740119700,2025-02-21 06:35:00+00:00,2025-02-21 01:35:00-05:00,2025-02-21,AS,short,6133.5,6139.5,6102.75,prev_wddrb_lo,5.125,0.9999836086695347,5.1248996031009,34.0,0.0,0.38235294117647056,1.5102941176470588,-0.34,bearish,True,True,76.75,,,6132.642857142857,6131.785714285715,6130.928571428572,6132.15306122449,,6138.75025,6150.0,6102.75,open,0.0,open,0.0,open,0.0,stop,-1.0
1750394100,2025-06-20 04:35:00+00:00,2025-06-20 00:35:00-04:00,2025-06-20,AS,short,6022.25,6032.75,5969.5,prev_wddrb_lo,5.023809523809524,0.9998426366678009,5.0228615970703245,25.0,0.0,0.28,1.1939999999999988,-0.6000000000000001,bearish,True,False,19.75,,,6021.559523809524,6020.869047619048,6020.178571428572,6021.707482993197,6002.664195155083,,5999.25,5969.5,open,0.0,open,0.0,stop,-1.0,stop,-1.0
1745539800,2025-04-25 00:10:00+00:00,2025-04-24 20:10:00-04:00,2025-04-24,AR,short,5526.5,5550.25,5398.5,prev_wddrb_lo,5.389473684210526,0.9387641871747799,4.998209069632541,28.0,0.0,0.21428571428571427,1.4357142857142855,-0.30000000000000004,bearish,False,True,,,,5525.818181818182,5525.136363636364,5524.454545454545,5526.5,,,5520.0,5398.5,open,0.0,open,0.0,open,0.0,stop,-1.0
1753946100,2025-07-31 07:15:00+00:00,2025-07-31 03:15:00-04:00,2025-07-31,OR,short,6453.25,6458.0,6429.75,prev_wddrb_hi,4.947368421052632,0.9999465165922217,4.947050335522161,6.0,0.0,0.3333333333333333,1.1499999999999984,-0.48,bearish,False,,,,,6452.05,6450.85,6449.65,6453.25,6454.013264788017,,6429.75,6366.75,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738841700,2025-02-06 11:35:00+00:00,2025-02-06 06:35:00-05:00,2025-02-06,OS,short,6089.25,6101.625,6029.5,prev_wddrb_lo,4.828282828282828,0.9994770819170835,4.825235113799567,77.0,0.0,0.2077922077922078,1.773376623376623,-0.76,bearish,True,False,,,2.75,6088.5472972972975,6087.844594594595,6087.141891891892,6088.680241051863,6105.0,6066.34125,6088.5,6029.5,open,0.0,open,0.0,stop,-1.0,stop,-1.0
1737426300,2025-01-21 02:25:00+00:00,2025-01-20 21:25:00-05:00,2025-01-20,AS,short,6037.25,6044.0,6004.96875,daycycle_pct_level,4.782407407407407,0.9929217050018982,4.741477821978569,78.0,0.0,0.21794871794871795,1.8596153846153844,-0.13999999999999996,bearish,False,True,,,,6036.764150943396,6036.278301886792,6035.792452830188,6037.25,,6004.96875,6078.25,6036.5,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738243500,2025-01-30 13:25:00+00:00,2025-01-30 08:25:00-05:00,2025-01-30,OS,short,6084.75,6093.75,6042.25,prev_wddrb_lo,4.722222222222222,0.9999940905187689,4.722188406857399,46.0,0.0,0.21739130434782608,1.6652173913043473,-0.56,bearish,True,False,,,,6083.208333333333,6081.666666666667,6080.125,6079.354166666667,6098.038659793814,6069.91975,6091.25,6042.25,open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1751242200,2025-06-30 00:10:00+00:00,2025-06-29 20:10:00-04:00,2025-06-29,AR,short,6238.75,6250.5,6183.25,prev_wddrb_lo,4.723404255319149,0.9973627557824991,4.708310240542389,2.0,0.0,1.0,1.1999999999999948,-0.37999999999999995,bearish,False,True,,,,6237.607142857143,6236.464285714285,6235.321428571428,6238.75,,,6239.0,6183.25,open,0.0,open,0.0,open,0.0,stop,-1.0
1747356300,2025-05-16 00:45:00+00:00,2025-05-15 20:45:00-04:00,2025-05-15,AS,short,5927.25,5936.25,5884.5,prev_wddrb_lo,4.75,0.9919845225605243,4.703911004723015,21.0,0.0,0.5238095238095238,1.4023809523809514,-0.34,bearish,True,False,,,,5926.821428571428,5926.392857142857,5925.964285714285,5927.25,5916.075730133575,,5944.5,5884.5,open,0.0,open,0.0,open,0.0,stop,-1.0
1748565300,2025-05-30 00:35:00+00:00,2025-05-29 20:35:00-04:00,2025-05-29,AS,short,5907.0,5912.0,5884.0,prev_wddrb_lo,4.6,0.996565497376898,4.580766785310629,31.0,0.0,0.2903225806451613,1.5951612903225798,-0.06000000000000005,bearish,False,True,,,,5906.5,5906.0,5905.5,5907.0,5993.205342992982,,5956.25,5884.0,open,0.0,open,0.0,stop,-1.0,stop,-1.0
1739424000,2025-02-13 05:20:00+00:00,2025-02-13 00:20:00-05:00,2025-02-13,AS,short,6086.5,6072.5,6023.76275,daycycle_pct_level,4.481232142857152,0.9998815730746294,4.480583017387231,57.0,0.0,0.21052631578947367,1.5807017543859652,-0.28,bearish,True,False,,,,6086.346153846154,6086.192307692308,6086.038461538462,6086.369822485207,,6023.76275,6084.75,6023.75,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753660500,2025-07-27 23:55:00+00:00,2025-07-27 19:55:00-04:00,2025-07-27,AR,short,6447.75,6451.5,6431.0,prev_wddrb_hi,4.466666666666667,0.9993747797343165,4.463248795880931,27.0,0.0,0.3333333333333333,1.3499999999999996,-0.52,bearish,False,False,,,,6447.211538461538,6446.673076923077,6446.134615384615,6447.75,,,6431.0,6402.5,open,0.0,open,0.0,stop,-1.0,stop,-1.0
1739893800,2025-02-18 15:50:00+00:00,2025-02-18 10:50:00-05:00,2025-02-18,RS,short,6139.5,6137.25,6127.5,prev_wddrb_lo,5.333333333333333,0.8597813132889911,4.445281650830276,61.0,0.0,0.21311475409836064,1.2557377049180327,-0.8799999999999999,bearish,False,True,,2.5,,6138.4795918367345,6137.459183673469,6136.438775510204,6139.5,6156.65,6153.757,6144.5,6127.5,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1751245800,2025-06-30 01:10:00+00:00,2025-06-29 21:10:00-04:00,2025-06-29,AS,short,6238.0,6250.5,6183.25,prev_wddrb_lo,4.38,0.9977179007106742,4.367722305823428,2.0,0.0,1.0,1.1999999999999944,-0.76,bearish,False,True,,,,6236.928571428572,6235.857142857143,6234.785714285715,6238.0,6237.269017432646,,6239.0,6183.25,open,0.0,open,0.0,open,0.0,stop,-1.0
1752744900,2025-07-17 09:35:00+00:00,2025-07-17 05:35:00-04:00,2025-07-17,OS,short,6309.75,6315.25,6285.772347740668,intraday_pct_level,4.3595731380603615,0.9999930631206693,4.359535959348238,12.0,0.0,0.25,1.2624999999999988,-0.24,bearish,True,False,,,,6308.940476190476,6308.130952380952,6307.321428571428,6309.518707482993,6285.772347740668,,6308.75,6241.0,open,0.0,open,0.0,stop,-1.0,stop,-1.0
1750382100,2025-06-20 01:15:00+00:00,2025-06-19 21:15:00-04:00,2025-06-19,AS,short,6015.25,6025.75,5969.5,prev_wddrb_lo,4.357142857142857,0.9994836236836263,4.354376555447997,11.0,0.0,0.45454545454545453,1.2772727272727251,-0.6000000000000001,bearish,True,False,,,,6014.559523809524,6013.869047619048,6013.178571428572,6014.707482993197,6011.050543355219,,5999.25,5969.5,open,0.0,open,0.0,open,0.0,stop,-1.0
1738829700,2025-02-06 08:15:00+00:00,2025-02-06 03:15:00-05:00,2025-02-06,OR,short,6094.0,6101.625,6061.04575,daycycle_pct_level,4.321868852458987,0.9994424998977498,4.318901910029579,64.0,0.0,0.25,1.6703124999999999,-0.6399999999999999,bearish,False,,,,0.75,6093.0,6092.0,6091.0,6094.0,,6061.04575,6088.5,6029.5,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
