min_planned_r,quality,archetypes,bias_score_min,trades,months,trades_per_month,median_trades_per_month,win_rate,stop_rate,timeout_rate,total_r,avg_r
1.5,all,m7+frontrun,2,268.0,7.0,38.285714285714285,32.0,0.09701492537313433,0.44776119402985076,0.3843283582089552,-0.178324247663312,-0.0006653889838183284
1.5,all,m7+frontrun,3,185.0,7.0,26.428571428571427,16.0,0.08108108108108109,0.41081081081081083,0.44324324324324327,1.4524100871436225,0.007850865335911473
1.5,all,range+post,0,57.0,7.0,8.142857142857142,7.0,0.10526315789473684,0.6666666666666666,0.22807017543859648,-10.560078954509232,-0.18526454306156548
1.5,all,range+post,1,57.0,7.0,8.142857142857142,7.0,0.10526315789473684,0.6666666666666666,0.22807017543859648,-10.560078954509232,-0.18526454306156548
1.5,all,range+post,2,56.0,7.0,8.0,7.0,0.10714285714285714,0.6607142857142857,0.23214285714285715,-9.560078954509233,-0.1707156956162363
1.5,all,range+post,3,48.0,7.0,6.857142857142857,6.0,0.125,0.6458333333333334,0.22916666666666666,-2.6127105334565996,-0.05443146944701249
1.5,all,range+after,0,78.0,7.0,11.142857142857142,9.0,0.1794871794871795,0.6153846153846154,0.20512820512820512,9.22445956642111,0.11826230213360397
1.5,all,range+after,1,78.0,7.0,11.142857142857142,9.0,0.1794871794871795,0.6153846153846154,0.20512820512820512,9.22445956642111,0.11826230213360397
1.5,all,range+after,2,68.0,7.0,9.714285714285714,8.0,0.17647058823529413,0.6470588235294118,0.17647058823529413,4.995086134153453,0.07345714903166843
1.5,all,range+after,3,50.0,7.0,7.142857142857143,5.0,0.18,0.62,0.2,9.65148987209628,0.19302979744192558
1.5,all,post+after,0,111.0,7.0,15.857142857142858,15.0,0.14414414414414414,0.6306306306306306,0.22522522522522523,-14.452324119740453,-0.13020111819585994
1.5,all,post+after,1,111.0,7.0,15.857142857142858,15.0,0.14414414414414414,0.6306306306306306,0.22522522522522523,-14.452324119740453,-0.13020111819585994
1.5,all,post+after,2,100.0,7.0,14.285714285714286,13.0,0.14,0.65,0.21,-17.681697552008114,-0.17681697552008113
1.5,all,post+after,3,74.0,7.0,10.571428571428571,8.0,0.14864864864864866,0.6216216216216216,0.22972972972972974,-6.0779253930126576,-0.08213412693260348
1.5,all,range+post+after,0,123.0,7.0,17.571428571428573,16.0,0.14634146341463414,0.6341463414634146,0.21951219512195122,-7.893971753914284,-0.06417863214564459
1.5,all,range+post+after,1,123.0,7.0,17.571428571428573,16.0,0.14634146341463414,0.6341463414634146,0.21951219512195122,-7.893971753914284,-0.06417863214564459
1.5,all,range+post+after,2,112.0,7.0,16.0,14.0,0.14285714285714285,0.6517857142857143,0.20535714285714285,-11.123345186181945,-0.09931558201948165
1.5,all,range+post+after,3,86.0,7.0,12.285714285714286,9.0,0.1511627906976744,0.627906976744186,0.22093023255813954,0.4804269728135112,0.005586360148994316
1.5,all,range+m7+frontrun,0,309.0,7.0,44.142857142857146,43.0,0.09385113268608414,0.4919093851132686,0.33980582524271846,-13.698759830497899,-0.04433255608575372
1.5,all,range+m7+frontrun,1,309.0,7.0,44.142857142857146,43.0,0.09385113268608414,0.4919093851132686,0.33980582524271846,-13.698759830497899,-0.04433255608575372
1.5,all,range+m7+frontrun,2,280.0,7.0,40.0,33.0,0.1,0.45714285714285713,0.375,6.380028118162865,0.022785814707724516
1.5,all,range+m7+frontrun,3,197.0,7.0,28.142857142857142,17.0,0.08629441624365482,0.4263959390862944,0.4263959390862944,8.010762452969786,0.04066376879680094
1.5,all,all+frontrun,0,420.0,7.0,60.0,58.0,0.10714285714285714,0.5285714285714286,0.30952380952380953,-28.151083950238355,-0.06702639035771037
