setup,r_band,horizon,trades,win_rate,totalR,avgR,trades_win_totalR
wddrb_completion,R5_8,4h,102,0.00980392156862745,-37.18238993710745,-0.364533234677524,-37.18238993710745
wddrb_completion,R5_8,session,102,0.0196078431372549,-16.599580712788423,-0.16274098738027867,-33.19916142557685
asia_rotation,R2_3,1h,163,0.012269938650306749,-15.844614322875294,-0.09720622283972573,-31.68922864575059
asia_rotation,R2_3,2h,163,0.049079754601226995,-12.081599873107873,-0.0741202446202937,-96.65279898486298
asia_rotation,R2_3,4h,163,0.12883435582822086,-3.3168828641509656,-0.02034897462669304,-69.65454014717028
asia_rotation,R2_3,session,163,0.05521472392638037,-18.52243715949129,-0.11363458380056006,-166.7019344354216
asia_rotation,R3_4,1h,101,0.0,-7.0,-0.06930693069306931,-0.0
asia_rotation,R3_4,2h,101,0.009900990099009901,-13.428571428571189,-0.13295615275813058,-13.428571428571189
asia_rotation,R3_4,4h,101,0.019801980198019802,-25.42857142857119,-0.2517680339462494,-50.85714285714238
asia_rotation,R3_4,session,101,0.009900990099009901,-20.42857142857119,-0.2022630834511999,-20.42857142857119
asia_rotation,R4_5,1h,87,0.0,-5.0,-0.05747126436781609,-0.0
asia_rotation,R4_5,2h,87,0.0,-10.0,-0.11494252873563218,-0.0
asia_rotation,R4_5,4h,87,0.0,-16.0,-0.1839080459770115,-0.0
asia_rotation,R4_5,session,87,0.0,-13.0,-0.14942528735632185,-0.0
asia_rotation,R5_8,1h,277,0.0036101083032490976,-9.265232974910319,-0.03344849449426108,-9.265232974910319
asia_rotation,R5_8,2h,277,0.0036101083032490976,-21.26523297491032,-0.07676979413325025,-21.26523297491032
asia_rotation,R5_8,4h,277,0.007220216606498195,-27.74880105002797,-0.10017617707591325,-55.49760210005594
asia_rotation,R5_8,session,277,0.007220216606498195,-14.748801050027973,-0.05324476913367499,-29.497602100055946
asia_rotation,R8_plus,1h,3,0.0,0.0,0.0,0.0
asia_rotation,R8_plus,2h,3,0.0,0.0,0.0,0.0
asia_rotation,R8_plus,4h,3,0.0,0.0,0.0,0.0
asia_rotation,R8_plus,session,3,0.0,0.0,0.0,0.0
breakout_continuation,R2_3,1h,55,0.03636363636363636,-12.789007092198046,-0.23252740167632813,-25.578014184396093
breakout_continuation,R2_3,2h,55,0.07272727272727272,-12.595231815250814,-0.22900421482274208,-50.38092726100326
breakout_continuation,R2_3,4h,55,0.16363636363636364,-6.754350007983355,-0.12280636378151555,-60.789150071850194
breakout_continuation,R2_3,session,55,0.23636363636363636,6.860855971333443,0.12474283584242624,89.19112762733477
breakout_continuation,R3_4,1h,13,0.0,-2.0,-0.15384615384615385,-0.0
breakout_continuation,R3_4,2h,13,0.07692307692307693,-1.9696969696963014,-0.15151515151510012,-1.9696969696963014
breakout_continuation,R3_4,4h,13,0.3076923076923077,8.846723391551178,0.6805171839654752,35.38689356620471
breakout_continuation,R3_4,session,13,0.23076923076923078,4.93506493506521,0.37962037962040074,14.80519480519563
breakout_continuation,R4_5,1h,7,0.0,-1.0,-0.14285714285714285,-0.0
breakout_continuation,R4_5,2h,7,0.0,-2.0,-0.2857142857142857,-0.0
breakout_continuation,R4_5,4h,7,0.0,-2.0,-0.2857142857142857,-0.0
breakout_continuation,R4_5,session,7,0.0,-3.0,-0.42857142857142855,-0.0
breakout_continuation,R5_8,1h,5,0.0,-1.0,-0.2,-0.0
breakout_continuation,R5_8,2h,5,0.0,-1.0,-0.2,-0.0
breakout_continuation,R5_8,4h,5,0.0,-1.0,-0.2,-0.0
breakout_continuation,R5_8,session,5,0.0,-2.0,-0.4,-0.0
