ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,condition,expectation,invalidation,weekly_override,horizon,outcome,exit_price,ambiguous,rej_move_away,rej_retest_count,rej_quality
1737642600,2025-01-23T09:30:00-05:00,RR,range_start,short,6113.75,6118.5,6093.693675625956,-1.0,rejection bias + confluence,THEN expect rotation toward 6093.69.,"IF price breaks 6118.50, THEN short thesis invalid.",False,2h,stop,6118.5,False,0.5,3.0,dirty
1737642600,2025-01-23T09:30:00-05:00,RR,range_start,short,6113.75,6118.5,6093.693675625956,-1.0,rejection bias + confluence,THEN expect rotation toward 6093.69.,"IF price breaks 6118.50, THEN short thesis invalid.",False,4h,stop,6118.5,False,0.5,3.0,dirty
1737642600,2025-01-23T09:30:00-05:00,RR,range_start,short,6113.75,6118.5,6093.693675625956,-1.0,rejection bias + confluence,THEN expect rotation toward 6093.69.,"IF price breaks 6118.50, THEN short thesis invalid.",False,session,stop,6118.5,False,0.5,3.0,dirty
1738632600,2025-02-03T20:30:00-05:00,AS,after_formed,short,6042.25,6047.625,5963.605374546553,0.7906976744186046,first break true + confirm,THEN expect rotation toward 5963.61.,"IF price breaks 6047.62, THEN short thesis invalid.",False,1h,timeout,6038.0,False,4.0,5.0,dirty
1738632600,2025-02-03T20:30:00-05:00,AS,after_formed,short,6042.25,6047.625,5963.605374546553,1.8604651162790697,first break true + confirm,THEN expect rotation toward 5963.61.,"IF price breaks 6047.62, THEN short thesis invalid.",False,2h,timeout,6032.25,False,4.0,5.0,dirty
1738632600,2025-02-03T20:30:00-05:00,AS,after_formed,short,6042.25,6047.625,5963.605374546553,6.093023255813954,first break true + confirm,THEN expect rotation toward 5963.61.,"IF price breaks 6047.62, THEN short thesis invalid.",False,4h,timeout,6009.5,False,4.0,5.0,dirty
1738632600,2025-02-03T20:30:00-05:00,AS,after_formed,short,6042.25,6047.625,5963.605374546553,4.4186046511627906,first break true + confirm,THEN expect rotation toward 5963.61.,"IF price breaks 6047.62, THEN short thesis invalid.",False,session,timeout,6018.5,False,4.0,5.0,dirty
1738765800,2025-02-05T09:30:00-05:00,RR,range_start,short,6051.25,6056.75,6019.729194908539,0.36363636363636365,rejection bias + confluence,THEN expect rotation toward 6019.73.,"IF price breaks 6056.75, THEN short thesis invalid.",False,1h,timeout,6049.25,False,21.75,5.0,dirty
1738765800,2025-02-05T09:30:00-05:00,RR,range_start,short,6051.25,6056.75,6019.729194908539,-1.0,rejection bias + confluence,THEN expect rotation toward 6019.73.,"IF price breaks 6056.75, THEN short thesis invalid.",False,2h,stop,6056.75,False,21.75,5.0,dirty
1738765800,2025-02-05T09:30:00-05:00,RR,range_start,short,6051.25,6056.75,6019.729194908539,-1.0,rejection bias + confluence,THEN expect rotation toward 6019.73.,"IF price breaks 6056.75, THEN short thesis invalid.",False,4h,stop,6056.75,False,21.75,5.0,dirty
1738765800,2025-02-05T09:30:00-05:00,RR,range_start,short,6051.25,6056.75,6019.729194908539,0.18181818181818182,rejection bias + confluence,THEN expect rotation toward 6019.73.,"IF price breaks 6056.75, THEN short thesis invalid.",False,session,timeout,6050.25,False,21.75,5.0,dirty
1738769400,2025-02-05T10:30:00-05:00,RS,after_formed,short,6050.25,6052.25,6019.729194908539,-1.0,perfect rejection + box down,THEN expect rotation toward 6019.73.,"IF price breaks 6052.25, THEN short thesis invalid.",False,1h,stop,6052.25,False,3.75,6.0,dirty
