session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20160817-RR,2016-08-17,RR,2016-08-17 10:25:00-04:00,breakout_short,0.08647899329662323,0.0,0.08647899329662323,0.08647899329662323,-2.528149930374184,1.0,0,-68.51634152544057,2.278149930374184,-1.1097381680928837,-68.83440112038956,,-126.4074965187092,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160818-RR,2016-08-18,RR,2016-08-18 10:25:00-04:00,breakout_short,0.07273837178945541,0.0,0.07273837178945541,0.07273837178945541,0.0,0.0,-1,-68.51634152544057,,,-68.83440112038956,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160818-AR,2016-08-18,AR,2016-08-18 20:25:00-04:00,fade_high_short,0.16672073304653168,0.0,0.16672073304653168,0.16672073304653168,0.8879192402664557,1.0,2,-67.62842228517411,0.5689596201332279,1.5606015064103218,-67.27379961397924,,44.39596201332279,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160819-RR,2016-08-19,RR,2016-08-19 10:25:00-04:00,breakout_short,0.1535840928554535,0.0,0.1535840928554535,0.1535840928554535,0.0,0.0,-1,-67.62842228517411,,,-67.27379961397924,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160819-TOUT,2016-08-19,TOUT,2016-08-19 16:55:00-04:00,mid_revert_long,0.0493353046476841,0.0,0.0493353046476841,0.0493353046476841,0.0,0.0,-1,-67.62842228517411,,,-67.27379961397924,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160819-AR,2016-08-19,AR,2016-08-21 20:25:00-04:00,mid_revert_long,0.030648818239569664,0.0,0.030648818239569664,0.030648818239569664,-1.0086128268440007,1.0,0,-68.63703511201811,0.7586128268440007,-1.3295488701921523,-68.60334848417139,,-50.43064134220003,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160822-RR,2016-08-22,RR,2016-08-22 10:25:00-04:00,breakout_short,0.0676666796207428,0.0,0.0676666796207428,0.0676666796207428,0.0,0.0,-1,-68.63703511201811,,,-68.60334848417139,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160822-AR,2016-08-22,AR,2016-08-22 20:25:00-04:00,mid_revert_long,0.12768705189228058,0.0,0.12768705189228058,0.12768705189228058,0.0,0.0,-1,-68.63703511201811,,,-68.60334848417139,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160823-RR,2016-08-23,RR,2016-08-23 10:25:00-04:00,mid_revert_long,0.10344047844409943,0.0,0.10344047844409943,0.10344047844409943,0.0,0.0,-1,-68.63703511201811,,,-68.60334848417139,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160823-TOUT,2016-08-23,TOUT,2016-08-23 16:55:00-04:00,mid_revert_short,0.011941106989979744,0.0,0.011941106989979744,0.011941106989979744,0.0,0.0,-1,-68.63703511201811,,,-68.60334848417139,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160823-AR,2016-08-23,AR,2016-08-23 20:25:00-04:00,mid_revert_long,0.11591780930757523,0.0,0.11591780930757523,0.11591780930757523,0.0,0.0,-1,-68.63703511201811,,,-68.60334848417139,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160824-RR,2016-08-24,RR,2016-08-24 10:25:00-04:00,mid_revert_short,0.0631202906370163,0.0,0.0631202906370163,0.0631202906370163,0.0,0.0,-1,-68.63703511201811,,,-68.60334848417139,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160824-AR,2016-08-24,AR,2016-08-24 20:25:00-04:00,mid_revert_long,0.21255189180374146,0.0,0.21255189180374146,0.21255189180374146,0.375,1.0,2,-68.26203511201811,0.72047133695105,0.5204926008393864,-68.082855883332,,18.75,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160825-TOUT,2016-08-25,TOUT,2016-08-25 16:55:00-04:00,fade_high_short,0.1836155205965042,0.0,0.1836155205965042,0.1836155205965042,-0.25,1.0,1,-68.51203511201811,0.6274950199003797,-0.3984095364447723,-68.48126541977678,,-12.5,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160825-AR,2016-08-25,AR,2016-08-25 20:25:00-04:00,mid_revert_long,0.07662392407655716,0.0,0.07662392407655716,0.07662392407655716,0.0,0.0,-1,-68.51203511201811,,,-68.48126541977678,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160826-RR,2016-08-26,RR,2016-08-26 10:25:00-04:00,breakout_long,0.4548220932483673,0.0,0.4548220932483673,0.4548220932483673,0.0,0.0,-1,-68.51203511201811,,,-68.48126541977678,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160826-AR,2016-08-26,AR,2016-08-28 20:25:00-04:00,fade_high_short,0.2143380343914032,0.0,0.2143380343914032,0.2143380343914032,0.0,0.0,-1,-68.51203511201811,,,-68.48126541977678,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160829-RR,2016-08-29,RR,2016-08-29 10:25:00-04:00,breakout_long,0.02607942558825016,0.0,0.02607942558825016,0.02607942558825016,1.0,1.0,1,-67.51203511201811,3.234883874918978,0.30913010749885483,-68.17213531227792,,50.0,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160829-AR,2016-08-29,AR,2016-08-29 20:25:00-04:00,fade_low_long,0.13546989858150482,0.0,0.13546989858150482,0.13546989858150482,-0.8189596201332279,1.0,0,-68.33099473215134,0.5689596201332279,-1.4393984935900297,-69.61153380586795,,-40.947981006661394,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160830-AR,2016-08-30,AR,2016-08-30 20:25:00-04:00,mid_revert_short,0.05280815437436104,0.0,0.05280815437436104,0.05280815437436104,0.0,0.0,-1,-68.33099473215134,,,-69.61153380586795,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160831-AR,2016-08-31,AR,2016-08-31 20:25:00-04:00,fade_low_long,0.011471332050859928,0.0,0.011471332050859928,0.011471332050859928,0.9187227339907622,1.0,2,-67.41227199816058,0.5843613669953811,1.5721825327270356,-68.03935127314091,,45.93613669953811,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160901-AR,2016-09-01,AR,2016-09-01 20:25:00-04:00,mid_revert_short,0.23753121495246887,0.0,0.23753121495246887,0.23753121495246887,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160902-RR,2016-09-02,RR,2016-09-02 10:25:00-04:00,mid_revert_long,0.08143217116594315,0.0,0.08143217116594315,0.08143217116594315,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160902-AR,2016-09-02,AR,2016-09-04 20:25:00-04:00,fade_low_long,0.010915536433458328,0.0,0.010915536433458328,0.010915536433458328,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160906-RR,2016-09-06,RR,2016-09-06 10:25:00-04:00,mid_revert_short,0.034091442823410034,0.0,0.034091442823410034,0.034091442823410034,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160907-RR,2016-09-07,RR,2016-09-07 10:25:00-04:00,mid_revert_short,0.10063102096319199,0.0,0.10063102096319199,0.10063102096319199,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160907-AR,2016-09-07,AR,2016-09-07 20:25:00-04:00,fade_low_long,0.1902054250240326,0.0,0.1902054250240326,0.1902054250240326,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160908-RR,2016-09-08,RR,2016-09-08 10:25:00-04:00,mid_revert_short,0.07867909222841263,0.0,0.07867909222841263,0.07867909222841263,0.0,0.0,-1,-67.41227199816058,,,-68.03935127314091,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160908-AR,2016-09-08,AR,2016-09-08 20:25:00-04:00,fade_high_short,0.06744179874658585,0.0,0.06744179874658585,0.06744179874658585,0.6531195934094285,1.0,2,-66.75915240475115,0.45155979670471424,1.4463634676418686,-66.59298780549904,,32.655979670471424,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160909-TOUT,2016-09-09,TOUT,2016-09-09 16:55:00-04:00,mid_revert_long,0.43542033433914185,0.0,0.43542033433914185,0.43542033433914185,-0.9546602391446868,1.0,0,-67.71381264389584,0.7046602391446868,-1.354780908744387,-67.94776871424342,,-47.73301195723434,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160909-AR,2016-09-09,AR,2016-09-11 20:25:00-04:00,mid_revert_long,0.12423598766326904,0.0,0.12423598766326904,0.12423598766326904,0.0,0.0,-1,-67.71381264389584,,,-67.94776871424342,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160912-TOUT,2016-09-12,TOUT,2016-09-12 16:55:00-04:00,mid_revert_short,0.014176356606185436,0.0,0.014176356606185436,0.014176356606185436,0.0,0.0,-1,-67.71381264389584,,,-67.94776871424342,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160912-AR,2016-09-12,AR,2016-09-12 20:25:00-04:00,fade_high_short,0.04924771189689636,0.0,0.04924771189689636,0.04924771189689636,0.0,0.0,-1,-67.71381264389584,,,-67.94776871424342,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160913-TOUT,2016-09-13,TOUT,2016-09-13 16:55:00-04:00,fade_high_short,0.08670521527528763,0.0,0.08670521527528763,0.08670521527528763,0.0,0.0,-1,-67.71381264389584,,,-67.94776871424342,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160913-AR,2016-09-13,AR,2016-09-13 20:25:00-04:00,mid_revert_long,0.21958786249160767,0.0,0.21958786249160767,0.21958786249160767,0.0,0.0,-1,-67.71381264389584,,,-67.94776871424342,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160914-RR,2016-09-14,RR,2016-09-14 10:25:00-04:00,breakout_short,0.15976449847221375,0.0,0.15976449847221375,0.15976449847221375,-4.582766072857339,1.0,0,-72.29657871675317,4.332766072857339,-1.0576998609654742,-69.0054685752089,,-229.13830364286696,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160914-TOUT,2016-09-14,TOUT,2016-09-14 16:55:00-04:00,mid_revert_short,0.016668083146214485,0.0,0.016668083146214485,0.016668083146214485,0.0,0.0,-1,-72.29657871675317,,,-69.0054685752089,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160915-RR,2016-09-15,RR,2016-09-15 10:25:00-04:00,breakout_long,0.05604501813650131,0.0,0.05604501813650131,0.05604501813650131,11.130592537876055,1.0,2,-61.16598617887712,4.55223701515024,2.4450819456087434,-66.56038662960015,,556.5296268938027,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160915-AR,2016-09-15,AR,2016-09-15 20:25:00-04:00,fade_high_short,0.22116322815418243,0.0,0.22116322815418243,0.22116322815418243,1.291250240107729,1.0,2,-59.87473593876939,0.7706251200538645,1.6755880472955018,-64.88479858230464,,64.56251200538645,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160916-RR,2016-09-16,RR,2016-09-16 10:25:00-04:00,mid_revert_short,0.07061348110437393,0.0,0.07061348110437393,0.07061348110437393,0.0,0.0,-1,-59.87473593876939,,,-64.88479858230464,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160916-AR,2016-09-16,AR,2016-09-18 20:25:00-04:00,mid_revert_long,0.2581365406513214,0.0,0.2581365406513214,0.2581365406513214,0.0,0.0,-1,-59.87473593876939,,,-64.88479858230464,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160919-RR,2016-09-19,RR,2016-09-19 10:25:00-04:00,fade_low_long,0.005312181543558836,0.0,0.005312181543558836,0.005312181543558836,-3.6416802717517385,1.0,0,-63.51641621052113,3.3916802717517385,-1.0737097780360483,-65.95850836034069,,-182.08401358758692,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160919-TOUT,2016-09-19,TOUT,2016-09-19 16:55:00-04:00,fade_high_short,0.03279934078454971,0.0,0.03279934078454971,0.03279934078454971,0.25,1.0,1,-63.26641621052113,1.4623987819227295,0.17095200234736396,-65.78755635799332,,12.5,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160919-AR,2016-09-19,AR,2016-09-19 20:25:00-04:00,mid_revert_long,0.2175305336713791,0.0,0.2175305336713791,0.2175305336713791,0.0,0.0,-1,-63.26641621052113,,,-65.78755635799332,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160920-TOUT,2016-09-20,TOUT,2016-09-20 16:55:00-04:00,mid_revert_short,0.05380702018737793,0.0,0.05380702018737793,0.05380702018737793,0.0,0.0,-1,-63.26641621052113,,,-65.78755635799332,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160920-AR,2016-09-20,AR,2016-09-20 20:25:00-04:00,breakout_long,0.43992558121681213,0.0,0.43992558121681213,0.43992558121681213,-2.11307612071505,1.0,0,-65.37949233123618,1.86307612071505,-1.1341866804153844,-66.9217430384087,,-105.6538060357525,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160921-RR,2016-09-21,RR,2016-09-21 10:25:00-04:00,fade_low_long,0.03517286106944084,0.0,0.03517286106944084,0.03517286106944084,-3.560010236110884,1.0,0,-68.93950256734706,3.310010236110884,-1.0755284673360648,-67.99727150574478,,-178.0005118055442,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160921-AR,2016-09-21,AR,2016-09-21 20:25:00-04:00,fade_low_long,0.17740370333194733,0.0,0.17740370333194733,0.17740370333194733,0.25,1.0,1,-68.68950256734706,1.390237786126363,0.179825352536684,-67.8174461532081,,12.5,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160922-RR,2016-09-22,RR,2016-09-22 10:25:00-04:00,mid_revert_long,0.015289952978491783,0.0,0.015289952978491783,0.015289952978491783,0.0,0.0,-1,-68.68950256734706,,,-67.8174461532081,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
