entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2013-02-12 16:15:00+00:00,2013-02-12 17:20:00+00:00,SHORT,1514.5,1516.25,1516.25,0.0,-1.75,-1.0,13,stop,range_forming,wddrb_high,asia_low
2013-02-12 21:40:00+00:00,2013-02-13 11:35:00+00:00,SHORT,1516.75,1519.0,1519.0,0.0,-2.25,-1.0,155,stop,range_forming,wddrb_high,asia_low
2013-02-13 15:15:00+00:00,2013-02-13 15:20:00+00:00,SHORT,1521.25,1521.75,1521.75,0.0,-0.5,-1.0,1,stop,range_forming,wddrb_high,asia_low
2013-02-13 19:25:00+00:00,2013-02-13 19:30:00+00:00,LONG,1516.0,1514.75,1514.75,1522.0,-1.25,-1.0,1,stop,breakout,wddrb_low,wddrb_high
2013-02-13 23:35:00+00:00,2013-02-19 14:45:00+00:00,SHORT,1515.5,1522.0,1522.0,0.0,-6.5,-1.0,938,stop,range_forming,wddrb_high,asia_low
2013-02-19 18:45:00+00:00,2013-02-19 19:00:00+00:00,SHORT,1525.0,1526.0,1526.0,0.0,-1.0,-1.0,3,stop,breakout,wddrb_high,asia_low
2013-02-19 23:40:00+00:00,2013-02-19 23:45:00+00:00,SHORT,1528.25,1528.5,1528.5,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2013-02-20 08:10:00+00:00,2013-02-20 08:15:00+00:00,SHORT,1527.75,1528.75,1528.75,0.0,-1.0,-1.0,1,stop,range_forming,wddrb_high,prior_day_low
2013-02-20 12:00:00+00:00,2013-02-20 14:00:00+00:00,SHORT,1527.75,1528.75,1528.75,0.0,-1.0,-1.0,24,stop,range_forming,wddrb_high,prior_day_low
2013-02-20 16:20:00+00:00,2013-03-05 08:00:00+00:00,SHORT,1523.5,1528.0,1528.0,0.0,-4.5,-1.0,2358,stop,breakout,wddrb_high,asia_low
2013-03-05 15:00:00+00:00,2013-03-05 15:15:00+00:00,SHORT,1536.25,1538.0,1538.0,0.0,-1.75,-1.0,3,stop,range_forming,wddrb_high,asia_low
2013-03-05 17:15:00+00:00,2013-03-05 18:20:00+00:00,SHORT,1539.25,1541.75,1541.75,0.0,-2.5,-1.0,13,stop,breakout,wddrb_high,asia_low
2013-03-05 21:45:00+00:00,2013-03-06 09:05:00+00:00,SHORT,1538.5,1542.75,1542.75,0.0,-4.25,-1.0,124,stop,range_forming,wddrb_high,asia_low
2013-03-06 19:30:00+00:00,2013-03-07 14:30:00+00:00,SHORT,1542.25,1544.75,1544.75,0.0,-2.5,-1.0,213,stop,breakout,wddrb_high,asia_low
2013-03-07 17:55:00+00:00,2013-03-08 07:15:00+00:00,SHORT,1544.5,1545.5,1545.5,0.0,-1.0,-1.0,145,stop,range_forming,wddrb_high,asia_low
2013-03-11 01:45:00+00:00,2013-03-11 16:00:00+00:00,SHORT,1549.0,1552.0,1552.0,0.0,-3.0,-1.0,171,stop,breakout,wddrb_high,prior_day_low
2013-03-11 19:30:00+00:00,2013-03-11 19:55:00+00:00,SHORT,1553.75,1556.0,1556.0,0.0,-2.25,-1.0,5,stop,breakout,wddrb_high,asia_low
2013-03-12 09:45:00+00:00,2013-03-12 14:05:00+00:00,SHORT,1553.5,1556.0,1556.0,0.0,-2.5,-1.0,52,stop,breakout,wddrb_high,prior_day_low
2013-03-12 23:35:00+00:00,2013-03-13 17:45:00+00:00,SHORT,1552.75,1556.5,1556.5,0.0,-3.75,-1.0,214,stop,range_forming,wddrb_high,asia_low
2013-03-14 04:50:00+00:00,2013-03-14 16:35:00+00:00,SHORT,1550.0,1556.75,1556.75,0.0,-6.75,-1.0,141,stop,breakout,wddrb_high,prior_day_low
2013-03-15 01:25:00+00:00,2013-03-15 03:45:00+00:00,SHORT,1556.5,1557.25,1557.25,1551.75,-0.75,-1.0,28,stop,breakout,wddrb_high,wddrb_low
2013-03-15 12:35:00+00:00,2013-03-15 12:50:00+00:00,SHORT,1555.75,1557.25,1557.25,0.0,-1.5,-1.0,3,stop,range_forming,wddrb_high,asia_low
2013-03-15 15:45:00+00:00,2013-03-15 16:15:00+00:00,SHORT,1554.25,1555.5,1555.5,0.0,-1.25,-1.0,6,stop,breakout,wddrb_high,asia_low
2013-03-17 23:30:00+00:00,2013-03-24 23:35:00+00:00,SHORT,1538.0,1556.5,1556.5,0.0,-18.5,-1.0,1366,stop,range_forming,wddrb_high,asia_low
2013-03-25 06:00:00+00:00,2013-03-25 06:05:00+00:00,SHORT,1558.5,1558.75,1558.75,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,prior_day_low
2013-03-26 12:40:00+00:00,2013-03-26 19:55:00+00:00,SHORT,1550.0,1558.5,1558.5,0.0,-8.5,-1.0,87,stop,range_forming,wddrb_high,asia_low
2013-03-27 00:05:00+00:00,2013-03-27 01:50:00+00:00,SHORT,1557.5,1558.5,1558.5,0.0,-1.0,-1.0,21,stop,range_forming,wddrb_high,asia_low
2013-03-27 06:05:00+00:00,2013-03-27 11:35:00+00:00,LONG,1558.75,1550.25,1550.25,1584.25,-8.5,-1.0,66,stop,range_forming,wddrb_low,min_rr
2013-03-28 16:40:00+00:00,2013-03-28 19:20:00+00:00,SHORT,1559.5,1562.75,1562.75,0.0,-3.25,-1.0,32,stop,breakout,wddrb_high,asia_low
2013-04-01 02:10:00+00:00,2013-04-01 02:20:00+00:00,SHORT,1560.75,1561.0,1561.0,0.0,-0.25,-1.0,2,stop,breakout,intraday_high,prior_day_low
2013-04-01 13:15:00+00:00,2013-04-01 13:20:00+00:00,SHORT,1562.25,1562.5,1562.5,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2013-04-01 17:55:00+00:00,2013-04-02 13:50:00+00:00,SHORT,1556.75,1565.0,1565.0,0.0,-8.25,-1.0,224,stop,breakout,wddrb_high,asia_low
2013-04-02 16:45:00+00:00,2013-04-09 18:30:00+00:00,SHORT,1566.75,1568.0,1568.0,0.0,-1.25,-1.0,1386,stop,breakout,wddrb_high,asia_low
2013-04-10 00:15:00+00:00,2013-04-10 10:30:00+00:00,SHORT,1561.5,1569.0,1569.0,0.0,-7.5,-1.0,123,stop,range_forming,wddrb_high,asia_low
2013-04-10 14:15:00+00:00,2013-04-10 14:25:00+00:00,SHORT,1573.5,1575.25,1575.25,0.0,-1.75,-1.0,2,stop,range_forming,wddrb_high,asia_low
2013-04-11 02:55:00+00:00,2013-04-11 08:40:00+00:00,SHORT,1581.0,1584.5,1584.5,0.0,-3.5,-1.0,69,stop,breakout,wddrb_high,prior_day_low
2013-04-11 12:55:00+00:00,2013-04-11 13:45:00+00:00,SHORT,1583.75,1584.5,1584.5,0.0,-0.75,-1.0,10,stop,range_forming,wddrb_high,asia_low
